1138,"SELECT TOP # run, camCol, rerun, field, objID, ra, dec FROM Galaxy WHERE (flags & (dbo.fPhotoFlags (#) | dbo.fPhotoFlags (#) | dbo.fPhotoFlags (#) )) > # and (flags & (dbo.fPhotoFlags (#) | dbo.fPhotoFlags (#) | dbo.fPhotoFlags (#) )) ! = dbo.fPhotoFlags (#) and ( (flags & dbo.fPhotoFlags (#) = #) and petroR5#_i > #)"
2019-01-01 10:01:00,1
2019-01-01 23:36:00,1
2019-01-02 01:53:00,1
2019-01-03 11:16:00,1
2019-01-03 17:43:00,1
2019-01-03 17:45:00,1
2019-01-03 17:48:00,1
2019-01-04 06:27:00,1
2019-01-04 20:56:00,1
2019-01-05 09:17:00,1
2019-01-05 18:15:00,1
2019-01-05 20:38:00,1
2019-01-06 05:27:00,1
2019-01-06 22:01:00,1
2019-01-08 02:03:00,1
2019-01-08 03:51:00,1
2019-01-08 03:53:00,1
2019-01-08 03:56:00,1
2019-01-08 04:01:00,1
2019-01-08 04:10:00,1
2019-01-08 04:27:00,1
2019-01-08 06:53:00,1
2019-01-08 17:19:00,1
2019-01-08 17:21:00,1
2019-01-08 17:24:00,1
2019-01-08 17:29:00,1
2019-01-09 09:41:00,2
2019-01-10 01:24:00,1
2019-01-10 02:36:00,1
2019-01-10 22:45:00,1
2019-01-13 00:41:00,1
2019-01-13 02:07:00,1
2019-01-14 00:11:00,1
2019-01-14 11:41:00,1
2019-01-14 15:13:00,1
2019-01-15 13:02:00,1
2019-01-16 16:21:00,1
2019-01-17 04:29:00,1
2019-01-17 22:57:00,1
2019-01-19 00:13:00,1
2019-01-19 09:52:00,1
2019-01-19 09:55:00,1
2019-01-19 20:45:00,1
2019-01-20 18:28:00,1
2019-01-21 02:52:00,1
2019-01-21 04:21:00,1
2019-01-22 09:03:00,1
2019-01-22 15:16:00,1
2019-01-22 15:18:00,1
2019-01-22 15:21:00,1
2019-01-22 15:26:00,1
2019-01-22 15:29:00,1
2019-01-22 21:31:00,1
2019-01-23 03:30:00,1
2019-01-23 23:28:00,1
2019-01-24 13:46:00,1
2019-01-25 11:18:00,1
2019-01-25 17:35:00,1
2019-01-26 13:31:00,1
2019-01-26 22:22:00,1
2019-01-26 22:24:00,1
2019-01-26 22:27:00,1
2019-01-26 22:32:00,1
2019-01-27 16:24:00,1
2019-01-27 16:26:00,1
2019-01-27 20:19:00,1
2019-01-27 22:43:00,1
2019-01-28 12:02:00,1
2019-01-28 16:04:00,1
2019-01-28 16:06:00,1
2019-01-28 16:09:00,1
2019-01-28 16:10:00,1
2019-01-28 20:55:00,1
2019-01-28 21:31:00,1
2019-01-29 02:56:00,1
2019-01-29 03:46:00,1
2019-01-30 00:18:00,1
2019-01-30 08:28:00,1
2019-01-30 18:17:00,3
2019-01-30 18:18:00,1
2019-01-30 18:19:00,1
2019-01-30 18:20:00,1
2019-01-30 18:21:00,1
2019-01-30 18:22:00,1
2019-01-30 18:23:00,1
2019-01-30 18:24:00,1
2019-01-30 18:25:00,1
2019-01-30 18:26:00,1
2019-01-30 18:27:00,1
2019-01-30 18:28:00,1
2019-01-30 18:29:00,1
2019-01-30 18:30:00,1
2019-01-30 18:31:00,1
2019-01-30 18:32:00,1
2019-01-30 18:33:00,1
2019-01-30 18:34:00,1
2019-01-30 18:35:00,1
2019-01-30 18:36:00,1
2019-01-30 18:37:00,1
2019-01-31 00:39:00,1
2019-01-31 00:41:00,1
2019-01-31 00:44:00,1
2019-02-01 11:49:00,1
2019-02-01 11:51:00,1
2019-02-01 11:54:00,1
2019-02-01 11:59:00,1
2019-02-01 12:08:00,1
2019-02-01 12:25:00,1
2019-02-01 23:25:00,1
2019-02-01 23:27:00,1
2019-02-01 23:30:00,1
2019-02-01 23:35:00,1
2019-02-02 00:23:00,1
2019-02-02 11:49:00,1
2019-02-02 12:55:00,1
2019-02-02 12:57:00,1
2019-02-02 13:00:00,1
2019-02-02 15:43:00,1
2019-02-02 20:28:00,1
2019-02-06 20:02:00,1
2019-02-08 01:40:00,1
2019-02-08 01:59:00,1
2019-02-08 05:17:00,1
2019-02-08 16:57:00,1
2019-02-09 00:27:00,1
2019-02-09 00:53:00,1
2019-02-10 06:57:00,1
2019-02-10 13:16:00,1
2019-02-11 03:28:00,1
2019-02-11 22:21:00,1
2019-02-11 22:34:00,1
2019-02-12 17:25:00,1
2019-02-12 17:27:00,1
2019-02-12 19:48:00,1
2019-02-12 19:55:00,1
2019-02-13 14:33:00,1
2019-02-13 14:35:00,1
2019-02-13 16:20:00,1
2019-02-14 14:30:00,1
2019-02-14 14:32:00,1
2019-02-14 14:35:00,1
2019-02-16 07:46:00,1
2019-02-16 15:11:00,1
2019-02-17 06:15:00,1
2019-02-17 14:35:00,1
2019-02-17 21:44:00,1
2019-02-18 09:50:00,1
2019-02-18 19:24:00,1
2019-02-19 00:12:00,1
2019-02-19 10:21:00,1
2019-02-21 05:01:00,1
2019-02-21 11:29:00,1
2019-02-21 11:35:00,1
