58,SELECT COUNT (*) FROM SpecObj WHERE class = # AND
2019-02-24 21:37:00,1
2019-03-05 12:39:00,1
2019-03-05 12:40:00,1
2019-03-06 16:23:00,1
2019-03-06 16:26:00,1
2019-03-07 09:41:00,1
2019-03-07 09:42:00,2
2019-03-07 16:21:00,1
2019-03-07 16:24:00,2
2019-03-07 16:25:00,1
2019-03-07 16:33:00,1
2019-03-07 16:34:00,1
2019-03-07 16:35:00,2
2019-03-07 16:36:00,2
2019-03-07 16:37:00,2
2019-03-07 16:38:00,1
2019-03-07 16:39:00,2
2019-03-07 16:42:00,1
2019-03-07 16:43:00,1
2019-03-07 16:44:00,2
2019-03-07 17:00:00,1
2019-03-07 17:01:00,1
2019-03-07 17:02:00,2
2019-03-09 06:33:00,2
2019-03-16 19:40:00,2
2019-03-17 09:40:00,1
2019-03-17 09:57:00,1
2019-03-17 10:07:00,1
2019-03-17 11:10:00,1
2019-03-17 11:48:00,1
2019-03-17 11:50:00,2
2019-03-17 11:53:00,2
2019-03-17 11:55:00,2
2019-03-17 11:56:00,1
2019-03-17 11:57:00,3
2019-03-17 12:01:00,1
2019-03-18 10:23:00,1
2019-03-20 20:36:00,1
2019-03-20 20:38:00,3
2019-03-20 21:05:00,1
2019-03-22 16:56:00,1
