2,"SELECT TOP # ObjID, modelMag_r, petroRad_r FROM PhotoPrimary WHERE (ra between # and #) and (dec between # and #) and (type = #) and (modelMag_r between # and #) and (petroRad_r > #)"
2019-02-11 02:17:00,1
2019-02-11 02:22:00,1
