3,"SELECT TOP # s.class, s.z as redshift FROM SpecObjAll AS s where s.class = # group by z, class having count (*) > #"
2019-02-28 00:50:00,1
2019-02-28 00:51:00,1
2019-02-28 00:52:00,1
