12,"SELECT top # p.objid, s.ra, s.dec, s.z, s.class, p.g, p.r, p.i, p.u, p.z, s.plate, s.fiberid, m.mstellar_median FROM PhotoObj AS p, SpecObj AS s, stellarMassPCAWiscM1# as m WHERE s.bestobjid = p.objid AND m.specobjid = s.specobjid AND s.z BETWEEN # AND # AND s.zWarning = # AND m.mstellar_median BETWEEN # and # AND m.warning = # AND class = #"
2019-06-23 21:35:00,1
2019-06-25 06:38:00,1
2019-06-26 00:30:00,2
2019-06-26 00:31:00,2
2019-06-28 20:22:00,1
2019-06-28 20:23:00,1
2019-06-28 20:24:00,2
2019-06-28 20:25:00,1
2019-07-08 16:35:00,1
