182,"SELECT TOP # plate, mjd, fiberid FROM specObj WHERE ( (PrimTarget & #) > #) AND (z > #) AND (z < = #)"
2019-01-03 05:13:00,1
2019-01-03 21:45:00,2
2019-01-03 21:46:00,1
2019-01-04 14:58:00,1
2019-01-04 18:07:00,2
2019-01-04 18:16:00,1
2019-01-04 18:17:00,1
2019-01-04 18:18:00,2
2019-01-04 18:20:00,5
2019-01-04 18:38:00,1
2019-01-04 18:40:00,3
2019-01-04 18:41:00,2
2019-01-04 18:42:00,3
2019-01-04 18:45:00,2
2019-01-04 19:48:00,1
2019-01-04 19:49:00,1
2019-01-04 19:50:00,1
2019-01-04 19:51:00,1
2019-01-04 20:29:00,1
2019-01-04 20:30:00,2
2019-01-04 20:31:00,1
2019-01-04 21:42:00,1
2019-01-04 21:43:00,1
2019-01-05 00:28:00,1
2019-01-07 08:49:00,1
2019-01-07 08:53:00,1
2019-01-13 18:40:00,1
2019-01-13 19:00:00,1
2019-01-13 21:40:00,1
2019-01-16 23:47:00,1
2019-01-25 23:34:00,1
2019-01-25 23:51:00,1
2019-01-26 02:31:00,1
2019-01-26 02:32:00,1
2019-01-26 02:33:00,1
2019-01-26 13:56:00,1
2019-01-26 14:23:00,1
2019-01-26 14:25:00,1
2019-01-26 14:33:00,1
2019-01-26 14:35:00,1
2019-01-26 14:37:00,1
2019-01-26 14:43:00,1
2019-01-26 14:46:00,1
2019-01-26 17:44:00,1
2019-01-26 17:54:00,1
2019-01-26 17:58:00,1
2019-01-26 18:04:00,1
2019-01-26 18:05:00,1
2019-01-26 18:06:00,1
2019-01-26 18:20:00,1
2019-01-26 18:24:00,1
2019-01-26 18:31:00,1
2019-01-26 18:32:00,1
2019-01-26 18:33:00,1
2019-01-26 18:38:00,1
2019-01-26 18:42:00,1
2019-01-26 18:45:00,1
2019-01-27 00:51:00,1
2019-01-27 02:35:00,1
2019-01-27 18:34:00,1
2019-03-07 01:31:00,1
2019-03-07 01:39:00,1
2019-03-12 23:50:00,1
2019-03-13 05:08:00,1
2019-03-13 05:54:00,1
2019-03-13 06:21:00,1
2019-03-13 17:42:00,1
2019-04-04 19:21:00,1
2019-04-23 08:45:00,1
2019-04-23 08:47:00,1
2019-04-23 08:53:00,1
2019-04-23 08:54:00,4
2019-04-23 08:55:00,1
2019-04-23 08:56:00,3
2019-05-02 22:27:00,1
2019-05-10 21:12:00,1
2019-05-11 21:21:00,1
2019-05-11 21:39:00,1
2019-05-11 21:41:00,1
2019-05-22 22:58:00,1
2019-05-24 21:57:00,1
2019-05-24 21:58:00,1
2019-05-24 22:00:00,1
2019-05-24 22:02:00,3
2019-05-28 18:33:00,1
2019-05-31 01:27:00,4
2019-06-03 03:58:00,1
2019-06-03 20:55:00,1
2019-06-03 20:57:00,1
2019-06-03 20:58:00,1
2019-06-03 21:00:00,1
2019-06-03 21:04:00,2
2019-06-05 20:41:00,1
2019-06-05 22:25:00,1
2019-06-06 22:14:00,1
2019-06-07 17:51:00,1
2019-06-07 19:59:00,1
2019-06-10 23:59:00,1
2019-06-11 22:31:00,1
2019-06-11 23:26:00,1
2019-06-12 02:26:00,1
2019-06-12 07:34:00,1
2019-07-04 12:42:00,2
2019-07-04 12:47:00,1
2019-07-10 14:23:00,1
2019-07-10 14:24:00,1
2019-07-21 17:17:00,2
2019-07-21 17:18:00,1
2019-07-25 09:10:00,1
2019-08-07 16:45:00,1
2019-08-07 16:56:00,1
2019-08-20 16:18:00,1
2019-08-20 16:20:00,1
2019-08-20 16:21:00,1
2019-08-21 21:17:00,1
2019-08-21 21:29:00,1
2019-08-25 17:18:00,1
2019-08-27 04:53:00,1
2019-09-07 23:17:00,1
2019-09-17 13:12:00,1
2019-09-19 01:53:00,1
2019-09-19 01:54:00,1
2019-09-23 08:28:00,1
2019-10-01 08:50:00,1
2019-10-01 08:56:00,1
2019-10-01 09:00:00,1
2019-10-02 11:11:00,1
2019-10-03 08:47:00,1
2019-10-03 08:49:00,3
2019-10-03 08:54:00,2
2019-10-05 14:04:00,1
2019-10-08 02:41:00,1
2019-10-15 06:55:00,1
2019-11-02 18:44:00,1
2019-11-08 18:42:00,1
2019-11-08 19:06:00,1
2019-11-08 19:26:00,1
2019-11-08 20:03:00,1
2019-11-08 20:55:00,1
2019-11-08 21:10:00,1
2019-11-16 11:27:00,1
2019-11-16 11:28:00,1
2019-11-17 04:08:00,1
2019-11-17 04:10:00,1
2019-11-17 06:45:00,1
2019-11-19 01:49:00,1
2019-11-25 09:26:00,1
2019-12-10 19:15:00,3
2019-12-10 19:16:00,1
2019-12-10 19:19:00,1
