1015,select objid from photoobj where photoobj.dec between -.# and -.# and photoobj.ra between # and #
2019-03-14 06:14:00,5
2019-03-14 06:15:00,2
2019-03-14 06:18:00,6
2019-03-14 06:23:00,1
2019-03-14 06:31:00,5
2019-03-14 06:35:00,1
2019-03-14 06:36:00,1
2019-03-14 06:37:00,2
2019-03-14 06:41:00,10
2019-03-14 07:02:00,1
2019-03-14 07:07:00,12
2019-03-14 07:51:00,4
2019-03-14 07:52:00,2
2019-03-14 08:33:00,2
2019-03-14 09:34:00,5
2019-03-14 09:45:00,4
2019-03-14 09:46:00,2
2019-03-14 09:47:00,5
2019-03-14 09:49:00,5
2019-03-14 09:50:00,2
2019-03-14 09:53:00,11
2019-03-14 10:25:00,4
2019-03-14 10:26:00,4
2019-03-14 10:35:00,3
2019-03-14 10:36:00,2
2019-03-14 10:37:00,1
2019-03-14 10:41:00,4
2019-03-14 10:55:00,7
2019-03-14 10:56:00,1
2019-03-14 10:57:00,2
2019-03-14 13:18:00,1
2019-03-14 13:21:00,1
2019-03-14 13:43:00,1
2019-03-14 13:46:00,2
2019-03-14 13:47:00,2
2019-03-14 13:50:00,2
2019-03-14 13:52:00,4
2019-03-14 13:53:00,3
2019-03-14 13:55:00,2
