10,"select ra, dec, u, g, r, i, z from star where g < # and (ra between # and #) and (dec between # and #)"
2019-07-24 15:17:00,2
2019-07-24 15:21:00,1
2019-07-25 18:24:00,1
2019-07-25 18:48:00,1
2019-07-25 19:32:00,1
2019-07-25 19:33:00,1
2019-07-25 19:34:00,1
2019-07-25 19:36:00,1
2019-07-25 19:39:00,1
