3,"SELECT DISTINCT p.ra, p.dec, p.objid FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-11-04 00:09:00,1
2019-11-04 00:10:00,1
2019-11-04 00:11:00,1
