49407,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-01-01 11:31:00,1
2019-01-01 12:01:00,1
2019-01-01 15:01:00,1
2019-01-01 16:01:00,4
2019-01-01 16:31:00,1
2019-01-01 17:01:00,8
2019-01-01 19:01:00,1
2019-01-01 20:31:00,5
2019-01-01 20:32:00,5
2019-01-01 20:34:00,2
2019-01-01 20:35:00,16
2019-01-01 20:36:00,5
2019-01-01 21:01:00,7
2019-01-01 21:02:00,19
2019-01-01 21:32:00,1
2019-01-02 00:31:00,3
2019-01-02 01:01:00,1
2019-01-02 12:31:00,7
2019-01-02 13:01:00,1
2019-01-02 15:31:00,4
2019-01-02 16:01:00,1
2019-01-02 18:31:00,10
2019-01-02 18:32:00,29
2019-01-02 18:33:00,6
2019-01-02 19:01:00,9
2019-01-02 19:02:00,23
2019-01-03 05:01:00,5
2019-01-03 05:31:00,2
2019-01-03 06:01:00,9
2019-01-03 06:02:00,17
2019-01-03 06:31:00,6
2019-01-03 07:31:00,1
2019-01-03 08:01:00,1
2019-01-03 11:01:00,4
2019-01-03 12:31:00,5
2019-01-03 12:32:00,10
2019-01-03 13:01:00,5
2019-01-03 13:02:00,10
2019-01-03 13:31:00,1
2019-01-03 14:01:00,8
2019-01-03 14:02:00,29
2019-01-03 14:03:00,27
2019-01-03 14:04:00,10
2019-01-03 14:31:00,5
2019-01-03 14:32:00,28
2019-01-03 15:01:00,10
2019-01-03 15:02:00,23
2019-01-03 15:31:00,9
2019-01-03 16:01:00,6
2019-01-03 16:31:00,3
2019-01-03 18:50:00,2
2019-01-03 19:02:00,2
2019-01-04 05:01:00,6
2019-01-04 05:31:00,3
2019-01-04 06:01:00,9
2019-01-04 06:02:00,4
2019-01-04 06:31:00,4
2019-01-04 07:01:00,9
2019-01-04 08:01:00,10
2019-01-04 08:02:00,20
2019-01-04 08:32:00,15
2019-01-04 09:01:00,10
2019-01-04 09:02:00,8
2019-01-04 10:01:00,1
2019-01-04 12:01:00,3
2019-01-04 12:31:00,3
2019-01-04 14:01:00,11
2019-01-04 14:02:00,15
2019-01-04 14:31:00,3
2019-01-04 15:01:00,9
2019-01-04 15:02:00,15
2019-01-04 15:31:00,5
2019-01-04 16:01:00,7
2019-01-04 16:02:00,11
2019-01-04 16:31:00,4
2019-01-04 17:01:00,10
2019-01-04 17:02:00,14
2019-01-04 18:31:00,7
2019-01-04 18:32:00,29
2019-01-04 19:18:00,9
2019-01-04 19:19:00,20
2019-01-04 23:02:00,1
2019-01-05 06:01:00,4
2019-01-05 06:31:00,2
2019-01-05 07:01:00,2
2019-01-05 09:01:00,9
2019-01-05 09:31:00,3
2019-01-05 10:01:00,10
2019-01-05 11:01:00,3
2019-01-05 11:32:00,1
2019-01-05 12:01:00,5
2019-01-05 12:02:00,2
2019-01-05 12:31:00,3
2019-01-05 18:31:00,7
2019-01-05 18:32:00,26
2019-01-05 19:05:00,2
2019-01-05 19:06:00,20
2019-01-06 09:31:00,1
2019-01-06 10:01:00,1
2019-01-06 12:31:00,2
2019-01-06 14:01:00,1
2019-01-06 22:31:00,3
2019-01-06 23:01:00,2
2019-01-06 23:31:00,3
2019-01-07 06:31:00,4
2019-01-07 06:32:00,24
2019-01-07 06:33:00,23
2019-01-07 06:34:00,13
2019-01-07 08:01:00,9
2019-01-07 08:02:00,10
2019-01-07 08:31:00,1
2019-01-07 10:01:00,7
2019-01-07 10:02:00,2
2019-01-07 11:01:00,2
2019-01-07 11:02:00,2
2019-01-07 12:01:00,1
2019-01-07 18:31:00,1
2019-01-07 18:34:00,1
2019-01-07 18:36:00,3
2019-01-07 18:37:00,1
2019-01-07 18:40:00,1
2019-01-07 18:41:00,3
2019-01-07 18:42:00,1
2019-01-07 18:43:00,1
2019-01-07 18:46:00,1
2019-01-07 18:49:00,1
2019-01-07 18:51:00,1
2019-01-07 18:53:00,1
2019-01-07 18:57:00,1
2019-01-07 18:59:00,1
2019-01-07 19:00:00,1
2019-01-07 19:01:00,1
2019-01-07 19:02:00,1
2019-01-07 19:03:00,1
2019-01-07 19:04:00,1
2019-01-07 19:05:00,1
2019-01-07 19:06:00,1
2019-01-07 19:07:00,1
2019-01-07 19:08:00,2
2019-01-07 19:09:00,2
2019-01-07 19:10:00,2
2019-01-07 19:11:00,2
2019-01-07 19:12:00,4
2019-01-07 19:13:00,2
2019-01-07 19:14:00,2
2019-01-07 19:15:00,2
2019-01-07 19:16:00,2
2019-01-07 19:18:00,2
2019-01-07 19:19:00,33
2019-01-08 03:32:00,1
2019-01-08 05:01:00,9
2019-01-08 06:01:00,5
2019-01-08 09:31:00,13
2019-01-08 10:31:00,6
2019-01-08 10:32:00,5
2019-01-08 11:01:00,9
2019-01-08 11:02:00,9
2019-01-08 11:31:00,8
2019-01-08 12:01:00,3
2019-01-08 12:31:00,1
2019-01-08 13:01:00,1
2019-01-08 13:31:00,8
2019-01-08 13:32:00,1
2019-01-08 14:01:00,9
2019-01-08 14:02:00,7
2019-01-08 14:31:00,4
2019-01-08 15:31:00,2
2019-01-08 15:33:00,13
2019-01-08 15:34:00,28
2019-01-08 15:35:00,29
2019-01-08 15:36:00,22
2019-01-08 16:01:00,10
2019-01-08 16:02:00,10
2019-01-08 19:01:00,1
2019-01-09 00:31:00,2
2019-01-09 00:32:00,7
2019-01-09 01:01:00,4
2019-01-09 02:31:00,1
2019-01-09 04:31:00,1
2019-01-09 06:01:00,1
2019-01-09 06:32:00,3
2019-01-09 08:01:00,1
2019-01-09 09:01:00,2
2019-01-09 09:31:00,1
2019-01-09 10:01:00,2
2019-01-09 10:31:00,5
2019-01-09 11:01:00,2
2019-01-09 12:01:00,7
2019-01-09 12:31:00,5
2019-01-09 13:01:00,1
2019-01-09 13:31:00,2
2019-01-09 14:01:00,4
2019-01-09 14:31:00,7
2019-01-09 14:32:00,9
2019-01-09 15:01:00,5
2019-01-09 15:02:00,7
2019-01-09 15:31:00,6
2019-01-09 16:01:00,8
2019-01-09 16:02:00,18
2019-01-09 18:01:00,3
2019-01-09 18:31:00,9
2019-01-09 18:32:00,15
2019-01-09 19:01:00,7
2019-01-09 19:02:00,4
2019-01-09 21:01:00,1
2019-01-09 22:31:00,2
2019-01-10 05:01:00,9
2019-01-10 05:02:00,2
2019-01-10 05:31:00,1
2019-01-10 06:01:00,8
2019-01-10 06:02:00,9
2019-01-10 07:01:00,8
2019-01-10 07:02:00,18
2019-01-10 08:01:00,7
2019-01-10 08:02:00,10
2019-01-10 08:31:00,5
2019-01-10 09:01:00,10
2019-01-10 09:02:00,9
2019-01-10 09:31:00,1
2019-01-10 10:31:00,3
2019-01-10 11:01:00,7
2019-01-10 11:02:00,32
2019-01-10 11:31:00,9
2019-01-10 11:32:00,1
2019-01-10 12:01:00,6
2019-01-10 12:02:00,3
2019-01-10 12:31:00,5
2019-01-10 13:01:00,1
2019-01-10 14:01:00,4
2019-01-10 14:02:00,26
2019-01-10 14:31:00,8
2019-01-10 14:32:00,5
2019-01-10 16:01:00,6
2019-01-10 21:01:00,3
2019-01-10 21:02:00,2
2019-01-10 21:31:00,6
2019-01-10 22:01:00,2
2019-01-11 00:31:00,5
2019-01-11 01:22:00,7
2019-01-11 04:32:00,2
2019-01-11 06:31:00,7
2019-01-11 06:32:00,12
2019-01-11 07:01:00,3
2019-01-11 09:31:00,2
2019-01-11 10:01:00,1
2019-01-11 11:31:00,1
2019-01-11 12:01:00,3
2019-01-11 13:01:00,8
2019-01-11 13:02:00,30
2019-01-11 13:03:00,15
