2,"select top # case when q.spectro = # then dbo.fSpecidFromSDSS (q.plate, q.mjd, q.fiberid, #) when q.spectro = # then dbo.fSpecIdFromSDSS (q.plate, q.mjd, q.fiberid, #) else # end as SpecObjID from mydb.dr1#q as q"
2019-01-16 15:31:00,1
2019-01-16 15:32:00,1
