25,SELECT * FROM MyTable1
2019-01-04 15:31:00,1
2019-05-30 16:30:00,1
2019-06-03 04:38:00,1
2019-06-03 04:40:00,1
2019-06-03 05:01:00,1
2019-06-06 01:55:00,1
2019-06-06 02:12:00,1
2019-06-06 02:25:00,1
2019-07-08 01:18:00,1
2019-07-11 11:33:00,1
2019-08-05 15:36:00,1
2019-08-08 03:39:00,1
2019-08-17 19:10:00,1
2019-08-22 14:36:00,1
2019-08-26 11:36:00,1
2019-10-03 04:16:00,1
2019-10-03 04:33:00,1
2019-10-15 19:17:00,1
2019-10-16 12:25:00,1
2019-10-18 19:49:00,1
2019-11-12 15:15:00,1
2019-11-20 06:10:00,1
2019-12-17 03:41:00,1
2019-12-17 04:29:00,1
2019-12-17 05:10:00,1
