5115,"SELECT top # p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n JOIN PhotoPrimary p ON n.objID = p.objID AND p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND p.r BETWEEN # AND # AND p.i BETWEEN # AND # AND p.z BETWEEN # AND #"
2019-01-03 14:32:00,1
2019-01-03 14:33:00,1
2019-01-03 14:34:00,1
2019-01-03 14:35:00,1
2019-01-03 14:36:00,1
2019-01-03 14:38:00,1
2019-01-03 14:39:00,1
2019-01-03 14:40:00,1
2019-01-03 14:41:00,1
2019-01-03 14:43:00,1
2019-01-03 14:44:00,1
2019-01-03 14:45:00,1
2019-01-03 14:46:00,1
2019-01-03 14:58:00,1
2019-01-03 15:10:00,1
2019-01-03 15:11:00,1
2019-01-03 15:17:00,2
2019-01-03 15:21:00,1
2019-01-03 15:22:00,1
2019-01-03 15:23:00,1
2019-01-03 15:24:00,2
2019-01-03 15:25:00,1
2019-01-03 15:26:00,1
2019-01-03 15:27:00,1
2019-01-03 15:28:00,1
2019-01-03 15:30:00,1
2019-01-03 15:32:00,3
2019-01-04 14:32:00,1
2019-01-04 14:34:00,1
2019-01-04 14:36:00,1
2019-01-04 14:39:00,1
2019-01-04 14:42:00,1
2019-01-04 14:44:00,1
2019-01-04 14:48:00,1
2019-01-04 14:52:00,1
2019-01-04 14:55:00,1
2019-01-04 14:58:00,1
2019-01-04 15:00:00,1
2019-01-04 15:01:00,1
2019-01-04 15:04:00,1
2019-01-04 15:07:00,1
2019-01-04 15:08:00,1
2019-01-04 15:09:00,1
2019-01-04 15:11:00,1
2019-01-04 15:12:00,1
2019-01-04 15:13:00,1
2019-01-04 15:14:00,1
2019-01-04 15:15:00,1
2019-01-04 15:17:00,1
2019-01-04 15:18:00,1
2019-01-04 15:27:00,1
2019-01-04 15:28:00,1
2019-01-04 15:29:00,1
2019-01-04 15:30:00,1
2019-01-04 15:31:00,1
2019-01-04 15:32:00,1
2019-02-08 14:37:00,1
2019-02-08 14:39:00,1
2019-02-09 14:46:00,1
2019-02-09 14:55:00,1
2019-02-09 15:03:00,1
2019-02-09 15:05:00,1
2019-02-09 15:08:00,1
2019-02-09 15:10:00,1
2019-02-09 15:16:00,1
2019-02-09 15:18:00,1
2019-02-09 15:20:00,1
2019-02-09 15:21:00,1
2019-02-09 15:22:00,1
2019-02-09 15:25:00,1
2019-02-09 15:27:00,1
2019-02-09 15:28:00,1
2019-02-09 15:29:00,1
2019-02-09 15:30:00,1
2019-02-09 15:31:00,1
2019-02-09 15:32:00,1
2019-02-09 15:38:00,1
2019-02-09 15:43:00,1
2019-02-09 15:47:00,1
2019-02-09 15:52:00,1
2019-02-09 15:55:00,1
2019-02-09 15:57:00,1
2019-02-09 16:00:00,1
2019-02-12 14:36:00,1
2019-02-12 14:38:00,1
2019-02-12 14:45:00,1
2019-02-12 14:52:00,1
2019-02-12 14:57:00,1
2019-02-12 14:59:00,1
2019-02-12 15:00:00,1
2019-02-12 15:01:00,1
2019-02-12 15:02:00,1
2019-02-12 15:03:00,1
2019-02-20 14:35:00,1
2019-02-20 14:39:00,1
2019-02-20 14:51:00,1
2019-02-20 15:03:00,1
2019-02-20 15:10:00,1
2019-02-20 15:17:00,1
2019-02-20 15:23:00,1
2019-02-20 15:29:00,1
2019-02-20 15:35:00,1
2019-02-20 15:41:00,1
2019-02-20 15:48:00,1
2019-02-20 15:54:00,1
2019-02-20 16:00:00,1
2019-02-20 16:03:00,1
2019-02-20 16:11:00,1
2019-02-20 16:16:00,1
2019-02-20 16:24:00,1
2019-02-20 16:31:00,1
2019-02-20 16:37:00,1
2019-02-20 16:43:00,1
2019-02-20 16:47:00,1
2019-02-20 16:54:00,1
2019-02-20 17:00:00,1
2019-02-20 17:05:00,1
2019-02-20 17:09:00,1
2019-02-20 17:16:00,1
2019-02-20 17:18:00,1
2019-02-20 17:23:00,1
2019-02-20 17:26:00,1
2019-02-20 17:31:00,1
2019-02-20 17:37:00,1
2019-02-20 17:43:00,1
2019-02-20 17:48:00,1
2019-02-20 17:54:00,1
