4853,"SELECT DISTINCT p.ra, p.dec, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, s.Z, s.class, s.BestObjID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-03-14 12:12:00,6
2019-03-14 12:13:00,148
2019-03-14 12:14:00,93
2019-03-14 12:15:00,100
2019-03-14 12:16:00,77
2019-03-14 12:17:00,64
2019-03-14 12:18:00,100
2019-03-14 12:19:00,151
2019-03-14 12:20:00,108
2019-03-14 12:21:00,129
2019-03-14 12:22:00,92
2019-03-14 12:23:00,61
2019-03-14 12:24:00,95
2019-03-14 12:25:00,118
2019-03-14 12:26:00,106
2019-03-14 12:27:00,117
2019-03-14 12:28:00,68
2019-03-14 12:29:00,124
2019-03-14 12:30:00,185
2019-03-14 12:31:00,150
2019-03-14 12:32:00,139
2019-03-14 12:33:00,105
2019-03-14 12:34:00,132
2019-03-14 12:35:00,85
2019-03-14 12:36:00,87
2019-03-14 12:37:00,121
2019-03-14 12:38:00,124
2019-03-14 12:39:00,17
2019-03-14 12:40:00,1
2019-03-14 12:41:00,164
2019-03-14 12:42:00,199
2019-03-14 12:43:00,217
2019-03-14 12:44:00,219
2019-03-14 12:45:00,231
2019-03-14 12:46:00,188
2019-03-14 12:47:00,200
2019-03-14 12:48:00,180
2019-03-14 12:49:00,173
2019-03-14 12:50:00,167
2019-03-14 12:51:00,12
