2,"SELECT s.ra, s.dec, s.plate, s.mjd, s.fiberid, s.z, s.modelMag_u, s.modelMag_g, s.modelMag_r, s.modelMag_i, s.modelMag_z, s.zWarning, s.Class FROM SpecPhotoAll as s, MyDB.raul_pmf as m INTO MyDB.raul_full WHERE s.plate = m.plate AND s.mjd = m.mjd AND s.fiberid = m.fiber"
2019-09-22 09:07:00,1
2019-09-22 09:08:00,1
