94,"SELECT g.ra, g.dec, g.petroMag_u as mag_u, g.petroMag_g as mag_g, g.petroMag_r as mag_r, g.petroMag_i as mag_i, g.petroMag_z as mag_z, p.z, p.zErr from GalaxyTag as g JOIN Photoz as p ON p.objID = g.objID WHERE g.ra BETWEEN # AND #"
2019-01-25 18:10:00,1
2019-01-25 18:11:00,1
2019-01-25 18:16:00,1
2019-01-25 18:17:00,2
2019-01-25 18:18:00,5
2019-01-25 18:19:00,3
2019-01-25 18:24:00,5
2019-01-25 18:25:00,12
2019-01-25 18:26:00,12
2019-01-25 18:27:00,11
2019-01-25 18:28:00,14
2019-01-25 18:29:00,7
2019-01-25 18:30:00,4
2019-01-25 18:31:00,4
2019-01-25 18:32:00,4
2019-01-25 18:33:00,5
2019-01-25 18:34:00,3
