3,"SELECT ALL objra, objdec, nsa_elpetro_absmag_f, plate, nsa_nsaid, nsa_field FROM mangaDRPall WHERE nsa_nsaid = #"
2019-05-12 18:08:00,1
2019-05-12 18:09:00,2
