837,"SELECT TOP # s.ra, s.dec, s.psfmag_g, (s.psfmag_g - s.psfmag_r) as gmr, pm.pmra, pm.pmdec, pm.pmraerr, pm.pmdecerr, pm.pml, pm.pmb FROM star s JOIN propermotions pm ON s.objid = pm.objid WHERE s.ra between #-# and #+# and s.dec between #-# and #+#"
2019-01-01 10:00:00,1
2019-01-01 19:25:00,1
2019-01-02 01:52:00,1
2019-01-03 11:15:00,1
2019-01-03 17:40:00,1
2019-01-05 08:54:00,1
2019-01-05 10:37:00,1
2019-01-05 18:15:00,1
2019-01-06 03:16:00,1
2019-01-08 02:02:00,1
2019-01-08 03:50:00,1
2019-01-08 06:52:00,1
2019-01-08 17:17:00,1
2019-01-10 02:35:00,1
2019-01-10 22:44:00,1
2019-01-12 03:26:00,1
2019-01-12 09:19:00,1
2019-01-14 11:40:00,1
2019-01-17 04:29:00,1
2019-01-18 01:14:00,1
2019-01-18 01:15:00,1
2019-01-19 01:48:00,1
2019-01-19 17:13:00,1
2019-01-19 21:03:00,1
2019-01-20 18:27:00,1
2019-01-21 01:09:00,1
2019-01-22 09:02:00,1
2019-01-22 15:14:00,1
2019-01-22 21:09:00,1
2019-01-23 13:44:00,1
2019-01-24 11:49:00,1
2019-01-24 13:43:00,1
2019-01-25 11:17:00,1
2019-01-25 17:34:00,1
2019-01-26 13:29:00,1
2019-01-26 22:20:00,1
2019-01-27 16:22:00,1
2019-01-27 22:41:00,1
2019-01-28 14:03:00,1
2019-01-28 16:03:00,1
2019-01-28 16:08:00,1
2019-01-29 03:45:00,1
2019-01-29 22:32:00,1
2019-01-30 18:11:00,1
2019-01-30 18:12:00,5
2019-01-31 00:36:00,1
2019-01-31 13:49:00,1
2019-02-01 11:46:00,1
2019-02-01 23:23:00,1
2019-02-02 05:16:00,1
2019-02-02 07:29:00,1
2019-02-02 12:51:00,1
2019-02-02 15:41:00,1
2019-02-03 13:50:00,1
2019-02-03 20:40:00,1
2019-02-07 21:41:00,1
2019-02-08 05:15:00,1
2019-02-08 16:56:00,1
2019-02-08 18:39:00,1
2019-02-09 15:15:00,1
2019-02-10 09:54:00,1
2019-02-10 18:20:00,1
2019-02-11 04:42:00,1
2019-02-11 17:00:00,1
2019-02-11 22:19:00,1
2019-02-11 22:33:00,1
2019-02-11 23:13:00,1
2019-02-12 07:00:00,1
2019-02-12 17:23:00,1
2019-02-12 19:46:00,1
2019-02-12 19:54:00,1
2019-02-13 14:31:00,1
2019-02-13 18:39:00,1
2019-02-14 12:27:00,1
2019-02-14 14:26:00,1
2019-02-14 16:00:00,1
2019-02-14 18:23:00,1
2019-02-17 10:43:00,1
2019-02-18 00:26:00,1
2019-02-18 18:55:00,1
2019-02-19 00:10:00,1
2019-02-19 10:18:00,1
2019-02-20 03:33:00,1
2019-02-21 18:03:00,1
2019-02-23 20:53:00,1
2019-02-24 11:27:00,1
2019-02-24 18:47:00,1
2019-02-25 12:48:00,1
2019-02-26 00:21:00,1
2019-02-26 02:53:00,1
2019-02-27 08:23:00,1
2019-02-27 09:23:00,1
2019-02-28 06:56:00,1
2019-02-28 08:54:00,1
2019-03-01 10:21:00,1
2019-03-01 16:15:00,1
2019-03-01 22:06:00,1
2019-03-01 23:10:00,1
2019-03-02 03:32:00,1
2019-03-03 04:24:00,1
2019-03-03 07:31:00,2
2019-03-03 08:45:00,1
2019-03-03 08:57:00,1
2019-03-03 09:07:00,1
2019-03-03 13:54:00,1
2019-03-03 18:08:00,1
2019-03-04 16:16:00,1
2019-03-04 22:55:00,1
2019-03-05 03:57:00,1
2019-03-05 17:01:00,1
2019-03-06 09:38:00,1
2019-03-06 14:55:00,1
2019-03-06 16:23:00,1
2019-03-07 09:59:00,1
2019-03-07 14:05:00,1
2019-03-08 11:16:00,1
2019-03-08 14:23:00,1
2019-03-08 14:30:00,1
2019-03-08 21:55:00,1
2019-03-09 00:47:00,1
2019-03-09 12:04:00,1
2019-03-09 19:39:00,1
2019-03-09 20:33:00,1
2019-03-10 02:42:00,1
2019-03-10 10:08:00,1
2019-03-11 03:10:00,1
2019-03-11 04:01:00,1
2019-03-11 06:16:00,1
2019-03-11 11:13:00,1
2019-03-11 17:06:00,1
2019-03-12 18:57:00,1
2019-03-12 23:01:00,1
2019-03-13 03:01:00,1
2019-03-13 07:45:00,1
2019-03-14 01:39:00,1
2019-03-14 14:25:00,1
