30,"SELECT TOP # p.psfMag_u, p.psfMag_g , p.psfMag_r, p.psfMag_i, p.psfMag_z, s.z, s.zErr, s.class FROM PhotoObjAll AS p JOIN specObjAll s ON s.bestobjid = p.objid WHERE p.mode = # AND s.sciencePrimary = # AND p.clean = # AND s.class = #"
2019-05-29 14:59:00,1
2019-06-05 14:40:00,1
2019-06-05 14:55:00,1
2019-06-05 14:59:00,1
2019-06-12 14:34:00,1
2019-06-12 14:55:00,1
2019-06-18 18:42:00,1
2019-06-18 19:38:00,1
2019-06-18 19:40:00,1
2019-06-18 19:47:00,1
2019-06-18 19:51:00,1
2019-06-26 15:10:00,1
2019-06-27 04:06:00,1
2019-06-30 02:46:00,1
2019-07-04 19:10:00,1
2019-07-08 01:03:00,1
2019-07-08 01:12:00,1
2019-07-08 20:24:00,1
2019-07-08 20:39:00,1
2019-07-08 21:16:00,1
2019-07-08 21:34:00,1
2019-07-09 01:53:00,1
2019-07-09 04:42:00,1
2019-07-09 07:17:00,1
2019-07-11 21:51:00,1
2019-07-13 18:10:00,1
2019-07-14 00:52:00,1
2019-10-24 23:52:00,2
2019-10-24 23:53:00,1
