4852,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-03-05 12:36:00,86
2019-03-05 12:37:00,124
2019-03-05 12:38:00,198
2019-03-05 12:39:00,93
2019-03-05 12:40:00,119
2019-03-05 12:41:00,224
2019-03-05 12:42:00,207
2019-03-05 12:43:00,198
2019-03-05 12:44:00,186
2019-03-05 12:45:00,173
2019-03-05 12:46:00,165
2019-03-05 12:47:00,156
2019-03-05 12:48:00,151
2019-03-05 12:49:00,140
2019-03-05 12:50:00,183
2019-03-05 12:51:00,209
2019-03-05 12:52:00,220
2019-03-05 12:53:00,225
2019-03-05 12:54:00,229
2019-03-05 12:55:00,236
2019-03-05 12:56:00,243
2019-03-05 12:57:00,248
2019-03-05 12:58:00,243
2019-03-05 12:59:00,233
2019-03-05 13:00:00,230
2019-03-05 13:01:00,133
