36,"select top # ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, objID from photoObj where type = # and modelMag_u - modelMag_g < #"
2019-01-06 15:10:00,1
2019-01-13 14:06:00,1
2019-01-28 09:49:00,1
2019-02-12 05:50:00,1
2019-02-14 09:42:00,1
2019-02-14 10:38:00,5
2019-02-14 14:20:00,1
2019-02-14 14:47:00,1
2019-02-15 04:22:00,1
2019-02-18 13:40:00,1
2019-02-21 21:48:00,1
2019-04-26 17:25:00,1
2019-05-30 20:17:00,1
2019-06-08 15:39:00,1
2019-06-12 13:19:00,1
2019-06-16 13:50:00,2
2019-06-24 03:02:00,1
2019-06-28 01:43:00,1
2019-06-28 01:45:00,1
2019-06-29 18:28:00,1
2019-07-12 18:56:00,1
2019-07-16 23:00:00,1
2019-07-16 23:02:00,1
2019-07-27 22:00:00,1
2019-08-19 05:34:00,1
2019-09-15 04:30:00,1
2019-10-07 02:09:00,1
2019-10-29 14:44:00,1
2019-11-14 16:57:00,1
2019-11-14 17:25:00,1
2019-11-27 08:56:00,1
