4,"SELECT top # ROW_NUMBER () OVER (ORDER BY z ASC) + # AS Row, (ROW_NUMBER () OVER (ORDER BY z ASC) % #) + # AS Batch, bestObjId, z, survey, subclass, ra, dec, # + survey + # + cast (run2d as varchar (#) ) + # + format (plate, #) + # + format (plate, #) + # + cast (mjd as varchar (#) ) + # + format (fiberid, #) + # as url, # + format (plate, #) + # + cast (mjd as varchar (#) ) + # + format (fiberid, #) as specFile FROM specObj WHERE class = # and zWarning = # AND bestObjId > # AND survey IN () AND snMedian > # AND (z < #) AND (htmid*# & #) < (# * #) ORDER BY z"
2019-04-12 12:42:00,1
2019-04-12 12:49:00,1
2019-04-12 12:50:00,2
