4,"select top # run, rerun, camcol, field, p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from photoobj p where (p.r BETWEEN # AND #)"
2019-04-02 19:42:00,1
2019-04-02 19:44:00,2
2019-04-02 19:50:00,1
