111,select fieldid from field where cccol_u between # and .# and skyframes_r between # and # and expapcorrectionerr_r between # and #
2019-01-25 07:42:00,6
2019-01-28 18:10:00,1
2019-01-28 18:12:00,3
2019-01-28 18:13:00,2
2019-01-28 18:17:00,4
2019-01-28 18:18:00,1
2019-01-28 18:21:00,5
2019-01-28 18:22:00,3
2019-01-28 18:30:00,5
2019-01-28 18:31:00,8
2019-01-28 18:34:00,4
2019-01-28 18:35:00,1
2019-01-28 18:39:00,2
2019-01-28 18:45:00,4
2019-01-28 18:46:00,2
2019-01-28 18:47:00,3
2019-01-28 18:48:00,4
2019-01-28 18:49:00,2
2019-01-28 18:50:00,5
2019-01-28 18:51:00,2
2019-01-28 18:52:00,3
2019-01-28 18:53:00,1
2019-01-28 18:54:00,2
2019-01-28 18:55:00,2
2019-01-28 18:56:00,5
2019-01-28 18:57:00,2
2019-01-28 19:00:00,6
2019-01-28 19:01:00,3
2019-01-28 19:04:00,3
2019-01-28 19:05:00,2
2019-01-28 19:07:00,4
2019-01-28 19:08:00,2
2019-01-28 19:09:00,4
2019-01-28 19:10:00,2
2019-01-28 19:12:00,2
2019-02-26 13:09:00,1
