98423,"select specObjID, ra, dec, z, zErr, zWarning from dr1#.SpecObjAll where bestObjId = #or fluxObjID = #"
2019-07-16 02:19:00,26
2019-07-16 02:20:00,61
2019-07-16 02:22:00,42
2019-07-16 02:23:00,7
2019-07-16 02:24:00,54
2019-07-16 02:25:00,61
2019-07-16 02:26:00,61
2019-07-16 02:27:00,60
2019-07-16 02:28:00,61
2019-07-16 02:29:00,60
2019-07-16 02:30:00,61
2019-07-16 02:31:00,60
2019-07-16 02:32:00,60
2019-07-16 02:33:00,61
2019-07-16 02:34:00,60
2019-07-16 02:35:00,60
2019-07-16 02:36:00,61
2019-07-16 02:37:00,60
2019-07-16 02:38:00,60
2019-07-16 02:39:00,60
2019-07-16 02:40:00,39
2019-07-16 02:53:00,2
2019-07-17 00:00:00,53
2019-07-17 00:01:00,61
2019-07-17 00:02:00,61
2019-07-17 00:03:00,35
2019-07-17 00:09:00,35
2019-07-17 00:10:00,60
2019-07-17 00:11:00,59
2019-07-17 00:12:00,62
2019-07-17 00:13:00,63
2019-07-17 00:14:00,61
2019-07-17 00:15:00,63
2019-07-17 00:16:00,37
2019-07-17 00:18:00,25
2019-07-17 00:19:00,61
2019-07-17 00:20:00,62
2019-07-17 00:21:00,62
2019-07-17 00:22:00,62
2019-07-17 00:23:00,62
2019-07-17 00:24:00,61
2019-07-17 00:25:00,60
2019-07-17 00:26:00,6
2019-07-17 00:28:00,36
2019-07-17 00:29:00,61
2019-07-17 00:30:00,62
2019-07-17 00:31:00,61
2019-07-17 00:32:00,62
2019-07-17 00:33:00,62
2019-07-17 00:34:00,61
2019-07-17 00:35:00,62
2019-07-17 00:36:00,62
2019-07-17 00:37:00,61
2019-07-17 00:38:00,62
2019-07-17 00:39:00,62
2019-07-17 00:40:00,62
2019-07-17 00:41:00,61
2019-07-17 00:42:00,22
2019-07-17 00:44:00,36
2019-07-17 00:45:00,63
2019-07-17 00:46:00,62
2019-07-17 00:47:00,62
2019-07-17 00:48:00,62
2019-07-17 00:49:00,62
2019-07-17 00:50:00,63
2019-07-17 00:51:00,61
2019-07-17 00:52:00,62
2019-07-17 00:53:00,62
2019-07-17 00:54:00,63
2019-07-17 00:55:00,62
2019-07-17 00:56:00,62
2019-07-17 00:57:00,26
2019-07-17 01:04:00,12
2019-07-17 01:05:00,60
2019-07-17 01:06:00,61
2019-07-17 01:07:00,62
2019-07-17 01:08:00,62
2019-07-17 01:09:00,62
2019-07-17 01:10:00,63
2019-07-17 01:11:00,62
2019-07-17 01:12:00,61
2019-07-17 01:13:00,62
2019-07-17 01:14:00,61
2019-07-17 01:15:00,62
2019-07-17 01:16:00,61
2019-07-17 01:17:00,62
2019-07-17 01:18:00,32
2019-07-17 01:23:00,47
2019-07-17 01:24:00,62
2019-07-17 01:25:00,62
2019-07-17 01:26:00,62
2019-07-17 01:27:00,62
2019-07-17 01:28:00,61
2019-07-17 01:29:00,64
2019-07-17 01:30:00,60
2019-07-17 01:31:00,63
2019-07-17 01:32:00,62
2019-07-17 01:33:00,62
2019-07-17 01:34:00,62
2019-07-17 01:35:00,62
2019-07-17 01:36:00,37
2019-07-17 01:38:00,14
2019-07-17 01:39:00,61
2019-07-17 01:40:00,63
2019-07-17 01:41:00,62
2019-07-17 01:42:00,62
2019-07-17 01:43:00,62
2019-07-17 01:44:00,64
2019-07-17 01:45:00,62
2019-07-17 01:46:00,61
2019-07-17 01:47:00,63
