13,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.camcol, p.field, s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = #"
2019-05-13 03:43:00,1
2019-05-13 03:46:00,1
2019-05-13 03:47:00,1
2019-05-13 03:50:00,2
2019-05-13 03:55:00,1
2019-05-13 03:56:00,1
2019-05-13 03:59:00,1
2019-05-13 04:00:00,1
2019-05-13 04:01:00,2
2019-05-13 04:03:00,1
2019-05-13 04:04:00,1
