196,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj FROM BESTDR7..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = p.objID WHERE (p.type = # OR p.type = #)"
2019-01-04 03:36:00,1
2019-01-08 11:43:00,1
2019-01-11 19:30:00,1
2019-01-13 02:14:00,1
2019-01-16 16:43:00,1
2019-01-18 00:53:00,1
2019-01-18 06:23:00,1
2019-01-20 13:33:00,2
2019-01-23 12:46:00,1
2019-01-26 02:35:00,1
2019-01-27 20:13:00,1
2019-01-29 10:51:00,1
2019-01-29 10:52:00,1
2019-01-29 10:54:00,2
2019-01-29 10:55:00,1
2019-01-30 23:38:00,1
2019-02-01 12:41:00,1
2019-02-01 13:02:00,1
2019-02-01 13:03:00,1
2019-02-02 07:44:00,1
2019-02-02 07:46:00,1
2019-02-02 08:51:00,2
2019-02-02 08:52:00,1
2019-02-05 08:41:00,2
2019-02-05 08:42:00,2
2019-02-05 08:43:00,2
2019-02-05 08:44:00,1
2019-02-05 09:07:00,1
2019-02-05 19:33:00,1
2019-02-08 08:53:00,1
2019-02-11 07:52:00,1
2019-02-13 22:04:00,1
2019-02-15 18:43:00,1
2019-02-22 21:12:00,1
2019-02-23 05:02:00,1
2019-02-23 05:03:00,1
2019-02-23 05:10:00,1
2019-02-23 05:37:00,1
2019-02-23 05:38:00,2
2019-02-23 05:39:00,1
2019-02-26 04:45:00,1
2019-02-26 04:53:00,1
2019-03-03 09:31:00,1
2019-03-03 10:52:00,1
2019-03-03 11:14:00,1
2019-03-03 11:56:00,1
2019-03-03 12:24:00,1
2019-03-08 18:04:00,1
2019-03-08 18:05:00,1
2019-03-12 03:46:00,2
2019-03-12 03:47:00,2
2019-03-12 09:03:00,1
2019-03-18 05:59:00,1
2019-03-18 19:50:00,1
2019-03-21 10:35:00,1
2019-03-21 10:36:00,1
2019-03-21 20:13:00,2
2019-03-22 20:15:00,1
2019-03-23 06:33:00,1
2019-03-23 06:34:00,1
2019-03-23 06:36:00,1
2019-04-03 06:54:00,1
2019-04-03 06:55:00,1
2019-04-03 06:56:00,1
2019-04-05 05:39:00,1
2019-04-05 06:11:00,1
2019-04-05 18:07:00,1
2019-04-05 22:25:00,1
2019-04-11 12:07:00,1
2019-04-16 21:09:00,1
2019-04-18 05:21:00,1
2019-04-22 07:01:00,1
2019-04-22 09:14:00,1
2019-04-22 19:29:00,1
2019-04-26 04:44:00,2
2019-04-26 06:17:00,1
2019-04-26 06:19:00,1
2019-05-11 12:58:00,1
2019-05-23 06:09:00,1
2019-05-24 07:37:00,1
2019-05-24 07:38:00,1
2019-05-24 16:00:00,1
2019-05-28 09:42:00,1
2019-05-28 21:06:00,1
2019-06-04 00:38:00,1
2019-06-06 23:01:00,1
2019-06-06 23:04:00,1
2019-06-06 23:10:00,1
2019-06-06 23:20:00,1
2019-06-06 23:21:00,1
2019-06-10 09:37:00,1
2019-06-10 21:05:00,1
2019-06-12 18:37:00,1
2019-06-12 18:41:00,1
2019-06-21 19:10:00,1
2019-06-24 21:14:00,1
2019-06-25 01:21:00,1
2019-06-25 01:24:00,2
2019-06-25 22:48:00,1
2019-06-26 12:48:00,1
2019-06-26 13:05:00,1
2019-06-26 13:06:00,1
2019-07-02 09:16:00,2
2019-07-02 15:25:00,1
2019-07-04 18:32:00,2
2019-07-09 07:30:00,1
2019-07-09 07:32:00,1
2019-07-09 07:41:00,1
2019-07-09 08:48:00,1
2019-07-17 15:05:00,1
2019-07-23 20:12:00,1
2019-07-31 02:10:00,1
2019-07-31 02:20:00,2
2019-07-31 02:21:00,1
2019-07-31 02:23:00,1
2019-08-05 00:31:00,1
2019-08-09 22:20:00,3
2019-08-09 22:22:00,1
2019-08-09 22:29:00,1
2019-08-15 16:55:00,1
2019-09-08 07:11:00,1
2019-09-08 07:14:00,1
2019-09-18 15:19:00,1
2019-09-18 15:20:00,1
2019-09-23 08:35:00,1
2019-09-23 13:50:00,1
2019-09-24 18:03:00,1
2019-09-24 18:06:00,1
2019-09-25 07:30:00,1
2019-09-25 09:38:00,1
2019-09-26 02:56:00,1
2019-09-26 14:22:00,1
2019-09-28 12:56:00,1
2019-10-01 21:27:00,1
2019-10-15 09:44:00,1
2019-10-15 09:45:00,1
2019-10-16 06:13:00,1
2019-10-22 06:47:00,1
2019-10-22 20:33:00,1
2019-10-22 20:35:00,1
2019-10-22 21:45:00,1
2019-10-29 20:51:00,1
2019-11-05 15:15:00,1
2019-11-05 15:16:00,1
2019-11-05 15:18:00,1
2019-11-05 15:19:00,1
2019-11-07 02:23:00,1
2019-11-07 02:45:00,1
2019-11-07 02:47:00,1
2019-11-07 02:49:00,1
2019-11-07 02:52:00,1
2019-11-07 02:53:00,3
2019-11-07 02:54:00,1
2019-11-07 02:55:00,2
2019-11-07 02:56:00,1
2019-11-07 02:57:00,1
2019-11-07 03:15:00,1
2019-11-09 19:55:00,1
2019-11-12 19:05:00,1
2019-11-12 19:10:00,1
2019-11-13 10:25:00,1
2019-11-14 13:31:00,1
2019-11-17 07:06:00,1
2019-11-17 07:07:00,2
2019-11-21 20:36:00,1
2019-11-23 07:32:00,1
2019-11-23 14:39:00,1
2019-11-24 06:31:00,1
2019-11-25 06:18:00,1
2019-11-30 00:38:00,1
2019-12-09 13:39:00,2
2019-12-09 13:46:00,1
2019-12-14 05:48:00,1
2019-12-25 14:38:00,1
