3,"SELECT Top # g.col0, g.col1, n.objid, n.distance, o.ra AS ra_SDSS, o.dec AS dec_sdss, o.u, o.g, o.r, o.i, o.z, o.err_u, o.err_g, o.err_r, o.err_i, o.err_z --INTO MyDB.get_all_objs_test FROM MyDB.TestCoords AS g CROSS APPLY dbo.fGetNearbyObjAllEq (g.col0, g.col1, #) AS n JOIN PhotoObj AS o ON n.objid = o.objid"
2019-02-26 13:46:00,2
2019-02-26 14:02:00,1
