10918,"select z, ra, dec, bestObjID from specObj where class = # and ra BETWEEN # AND # and dec BETWEEN # AND # and z BETWEEN # and #"
2019-03-14 16:15:00,1
2019-03-14 16:16:00,1
2019-03-14 16:23:00,1
2019-03-14 17:20:00,1
2019-03-14 17:21:00,1
2019-03-14 17:22:00,2
2019-03-14 17:26:00,1
2019-03-14 17:27:00,1
2019-03-14 17:30:00,1
2019-03-14 17:31:00,2
2019-03-14 17:32:00,1
2019-03-14 17:33:00,1
2019-03-14 17:35:00,5
2019-03-14 17:36:00,4
2019-03-15 08:56:00,3
2019-03-15 08:57:00,1
2019-03-15 14:29:00,2
2019-03-15 14:33:00,2
2019-03-15 14:34:00,5
2019-03-15 14:35:00,2
2019-03-26 15:29:00,3
2019-03-26 15:30:00,47
2019-03-26 15:31:00,53
2019-03-26 15:32:00,43
2019-03-26 15:33:00,27
2019-03-26 15:34:00,61
2019-03-26 15:35:00,56
2019-03-26 15:36:00,55
2019-03-26 15:37:00,58
2019-03-26 15:38:00,53
2019-03-26 15:39:00,55
2019-03-26 15:40:00,48
2019-03-26 15:41:00,54
2019-03-26 15:42:00,57
2019-03-26 15:43:00,57
2019-03-26 15:44:00,58
2019-03-26 15:45:00,56
2019-03-26 15:57:00,15
2019-03-26 15:58:00,24
2019-03-26 15:59:00,15
2019-03-26 16:00:00,21
2019-03-26 16:01:00,26
2019-03-26 16:02:00,38
2019-03-26 16:03:00,19
2019-03-26 16:04:00,51
2019-03-26 16:05:00,50
2019-03-26 16:06:00,52
2019-03-26 16:07:00,51
2019-03-26 16:08:00,52
2019-03-26 16:09:00,53
2019-03-26 16:10:00,47
2019-03-26 16:11:00,52
2019-03-26 16:12:00,51
2019-03-26 16:13:00,77
2019-03-26 16:14:00,70
2019-03-26 16:15:00,65
2019-03-26 16:16:00,70
2019-03-26 16:17:00,63
2019-03-26 16:18:00,62
2019-03-26 16:19:00,57
2019-03-26 16:20:00,58
2019-03-26 16:21:00,52
2019-03-26 16:22:00,52
2019-03-26 16:23:00,57
2019-03-26 16:24:00,55
2019-03-26 16:25:00,50
2019-03-26 16:26:00,51
2019-03-26 16:27:00,58
2019-03-26 16:28:00,56
2019-03-26 16:29:00,59
2019-03-26 16:30:00,55
2019-03-26 16:31:00,49
2019-03-26 16:32:00,55
2019-03-26 16:33:00,59
2019-03-26 16:34:00,52
2019-03-26 16:35:00,55
2019-03-26 16:36:00,79
2019-03-26 16:37:00,1
2019-03-26 16:38:00,2
2019-03-26 16:39:00,45
2019-03-26 16:40:00,45
2019-03-26 16:41:00,44
2019-03-26 16:42:00,47
2019-03-26 16:43:00,45
2019-03-26 17:22:00,13
2019-03-26 17:23:00,80
2019-03-26 17:24:00,91
2019-03-26 17:25:00,90
2019-03-26 17:26:00,89
2019-03-26 17:27:00,87
2019-03-26 17:28:00,119
2019-03-26 17:29:00,113
2019-03-26 17:30:00,116
2019-03-26 17:31:00,105
2019-03-26 17:32:00,99
2019-03-26 17:33:00,90
2019-03-26 17:34:00,96
2019-03-26 17:35:00,92
2019-03-26 17:36:00,102
2019-03-26 17:37:00,105
2019-03-26 17:38:00,96
2019-03-26 17:39:00,98
2019-03-26 17:40:00,100
2019-03-26 17:41:00,114
2019-03-26 17:43:00,77
2019-03-26 17:44:00,81
2019-03-26 17:45:00,86
2019-03-26 17:46:00,87
2019-03-26 17:47:00,87
2019-03-26 17:48:00,16
2019-03-27 14:07:00,54
2019-03-27 14:08:00,105
2019-03-27 14:09:00,108
2019-03-27 14:10:00,102
2019-03-27 14:11:00,96
2019-03-27 14:12:00,97
2019-03-27 14:13:00,69
2019-03-27 14:14:00,1
2019-04-03 10:15:00,1
2019-04-03 10:17:00,7
2019-04-03 10:20:00,29
2019-04-03 10:21:00,55
2019-04-03 10:22:00,52
2019-04-03 10:23:00,52
2019-04-03 10:24:00,57
2019-04-03 10:25:00,52
2019-04-03 10:26:00,57
2019-04-03 10:27:00,52
2019-04-03 10:28:00,55
2019-04-03 10:29:00,53
2019-04-03 10:30:00,53
2019-04-03 10:31:00,47
2019-04-03 10:32:00,48
2019-04-03 10:33:00,47
2019-04-03 10:34:00,56
2019-04-03 10:35:00,58
2019-04-03 10:36:00,56
2019-04-03 10:37:00,52
2019-04-03 10:38:00,54
2019-04-03 10:39:00,54
2019-04-03 10:40:00,53
2019-04-03 10:41:00,50
2019-04-03 10:42:00,51
2019-04-03 10:43:00,58
2019-04-03 10:44:00,52
2019-04-03 10:45:00,52
2019-04-03 10:46:00,52
2019-04-03 10:47:00,53
2019-04-03 10:48:00,57
2019-04-03 10:49:00,71
2019-04-03 10:50:00,78
2019-04-03 10:51:00,81
2019-04-03 10:52:00,76
2019-04-03 10:53:00,69
2019-04-03 10:54:00,65
2019-04-03 10:55:00,64
2019-04-03 10:56:00,67
2019-04-03 10:57:00,66
2019-04-03 10:58:00,57
2019-04-03 10:59:00,63
2019-04-03 11:00:00,62
2019-04-03 11:01:00,57
2019-04-03 11:02:00,56
2019-04-03 11:03:00,51
2019-04-03 11:04:00,55
2019-04-03 11:05:00,59
2019-04-03 11:06:00,56
2019-04-03 11:07:00,54
2019-04-03 11:08:00,55
2019-04-03 11:09:00,55
2019-04-03 11:10:00,61
2019-04-03 11:11:00,55
2019-04-03 11:12:00,33
2019-04-03 11:13:00,47
2019-04-03 11:14:00,44
2019-04-03 11:15:00,55
2019-04-03 11:16:00,47
2019-04-03 11:17:00,54
2019-04-03 11:18:00,57
2019-04-03 11:19:00,58
2019-04-03 11:20:00,49
2019-04-03 11:21:00,52
2019-04-03 11:22:00,56
2019-04-03 11:23:00,62
2019-04-03 11:24:00,58
2019-04-03 11:25:00,60
2019-04-03 11:26:00,54
2019-04-03 11:27:00,69
2019-04-03 11:28:00,93
2019-04-03 11:29:00,9
2019-04-27 09:43:00,10
2019-04-27 09:44:00,2
2019-04-27 09:45:00,33
2019-04-27 09:46:00,55
2019-04-27 09:47:00,62
2019-04-27 09:48:00,58
2019-04-27 09:49:00,60
2019-04-27 09:50:00,61
2019-04-27 09:51:00,55
2019-04-27 09:52:00,60
2019-04-27 09:53:00,32
2019-04-27 11:31:00,39
2019-04-27 11:32:00,57
2019-04-27 11:33:00,81
2019-04-27 11:34:00,34
2019-04-27 11:38:00,54
2019-04-27 11:39:00,57
2019-04-27 11:40:00,57
2019-04-27 11:41:00,29
2019-04-27 11:42:00,5
