6,"SELECT TOP # p.objid, p.ra, p.dec, p.i, p.r, p.g, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # and # AND p.dec BETWEEN # and #"
2019-02-17 19:25:00,1
2019-02-17 19:26:00,1
2019-02-17 19:27:00,2
2019-02-17 19:29:00,1
2019-02-17 19:31:00,1
