160,"SELECT p.objid, p.ra, p.dec, p.psfmag_u, p.psfmag_g, p.psfmag_r, p.psfmag_i, p.psfmag_z, p.psfmagerr_u, p.psfmagerr_g, p.psfmagerr_r, p.psfmagerr_i, p.psfmagerr_z, p.aperflux7_u, p.aperflux7_g, p.aperflux7_r, p.aperflux7_i, p.aperflux7_z, p.aperflux7Ivar_u, p.aperflux7Ivar_g, p.aperflux7Ivar_r, p.aperflux7Ivar_i, p.aperflux7Ivar_z FROM Star AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID where p.psfmag_i< # AND ( (flags_r & #) ! = #) AND ( (flags_i & #) ! = #) AND ( (flags_g & #) ! = #) AND ( (flags_g & #) = #) AND ( (flags_r & #) = #) AND ( (flags_i & #) = #) AND ( (flags_r & #) = #) AND ( ((flags_r & #) = #) or (flags_r & #) = #)"
2019-01-14 16:55:00,1
2019-02-28 15:37:00,1
2019-02-28 16:18:00,1
2019-02-28 16:22:00,1
2019-02-28 16:50:00,1
2019-03-05 12:14:00,1
2019-03-12 10:29:00,1
2019-03-12 10:30:00,1
2019-03-12 12:59:00,1
2019-03-12 16:44:00,2
2019-03-13 10:51:00,1
2019-03-13 11:24:00,1
2019-03-13 11:34:00,1
2019-03-13 11:40:00,1
2019-03-13 11:49:00,1
2019-03-13 11:52:00,1
2019-03-13 11:55:00,2
2019-03-13 14:52:00,1
2019-03-14 10:23:00,1
2019-03-14 10:24:00,1
2019-03-15 11:16:00,1
2019-03-15 11:17:00,1
2019-03-15 11:18:00,1
2019-03-15 15:28:00,1
2019-03-28 14:53:00,1
2019-04-29 15:01:00,1
2019-04-29 15:04:00,1
2019-05-01 14:25:00,1
2019-05-01 14:26:00,1
2019-07-09 13:47:00,1
2019-07-09 15:26:00,1
2019-07-10 09:03:00,1
2019-07-10 09:10:00,1
2019-07-10 09:14:00,1
2019-07-10 09:19:00,1
2019-07-10 09:30:00,1
2019-07-10 10:04:00,1
2019-07-10 10:49:00,1
2019-07-10 10:53:00,1
2019-07-10 10:54:00,1
2019-07-10 11:03:00,1
2019-07-10 11:38:00,1
2019-07-10 12:12:00,1
2019-07-10 13:18:00,1
2019-07-10 13:27:00,1
2019-07-10 14:14:00,1
2019-07-10 14:21:00,1
2019-07-10 14:27:00,1
2019-07-10 15:20:00,1
2019-07-10 15:21:00,1
2019-07-10 16:28:00,1
2019-07-11 10:01:00,1
2019-07-11 10:25:00,1
2019-07-11 10:27:00,1
2019-07-11 10:28:00,1
2019-07-11 10:41:00,1
2019-07-11 13:31:00,1
2019-07-11 13:45:00,1
2019-07-11 13:49:00,1
2019-07-11 15:09:00,1
2019-07-11 16:26:00,1
2019-07-12 08:03:00,1
2019-07-12 08:09:00,1
2019-07-12 08:10:00,1
2019-07-12 08:11:00,1
2019-07-15 10:57:00,1
2019-07-24 13:37:00,1
2019-07-25 09:25:00,1
2019-08-21 10:34:00,1
2019-08-21 10:38:00,1
2019-08-21 10:51:00,1
2019-08-21 11:09:00,1
2019-08-21 11:17:00,1
2019-08-22 14:52:00,1
2019-08-22 14:55:00,1
2019-08-22 15:02:00,1
2019-09-12 15:06:00,1
2019-09-12 15:20:00,1
2019-09-12 15:22:00,3
2019-09-12 15:23:00,1
2019-09-12 15:26:00,1
2019-09-12 15:27:00,1
2019-09-12 15:28:00,1
2019-09-12 15:32:00,1
2019-09-12 15:50:00,1
2019-09-12 16:03:00,1
2019-09-12 16:16:00,1
2019-09-12 16:23:00,1
2019-09-12 16:31:00,1
2019-09-12 16:34:00,1
2019-09-12 16:39:00,1
2019-09-12 16:41:00,1
2019-09-12 17:05:00,1
2019-09-12 17:14:00,1
2019-09-12 17:19:00,1
2019-09-12 17:20:00,1
2019-09-12 17:42:00,1
2019-09-12 17:50:00,1
2019-09-12 18:02:00,1
2019-09-12 18:11:00,1
2019-09-12 18:22:00,2
2019-09-12 18:24:00,1
2019-09-12 18:32:00,1
2019-09-12 18:37:00,2
2019-09-12 18:57:00,1
2019-09-12 19:21:00,1
2019-09-12 19:23:00,1
2019-09-12 19:31:00,1
2019-09-12 19:45:00,1
2019-09-12 19:48:00,2
2019-09-12 20:05:00,2
2019-09-12 20:23:00,1
2019-09-12 20:32:00,1
2019-09-12 20:49:00,1
2019-09-12 21:01:00,1
2019-09-12 21:31:00,2
2019-09-12 22:21:00,1
2019-09-12 22:38:00,1
2019-09-12 23:13:00,1
2019-09-12 23:32:00,1
2019-09-12 23:43:00,1
2019-09-13 00:32:00,1
2019-09-13 00:40:00,1
2019-09-13 01:09:00,1
2019-09-13 01:56:00,1
2019-09-13 02:02:00,1
2019-09-13 02:03:00,1
2019-09-13 03:26:00,1
2019-09-13 05:19:00,1
2019-10-01 09:28:00,1
2019-10-01 09:30:00,1
2019-10-01 09:44:00,1
2019-10-01 10:16:00,1
2019-10-01 11:00:00,1
2019-10-01 12:09:00,1
2019-10-01 12:40:00,1
2019-10-01 14:21:00,2
2019-10-10 13:24:00,1
2019-10-10 13:26:00,1
2019-10-10 13:27:00,1
2019-10-10 15:09:00,1
2019-10-10 17:05:00,1
2019-10-10 20:02:00,1
2019-10-10 20:19:00,1
2019-10-10 21:53:00,1
2019-10-11 10:22:00,1
2019-10-11 10:29:00,1
2019-10-11 10:35:00,1
2019-10-17 15:43:00,1
2019-11-08 11:27:00,1
