4,"SELECT TOP # RAND () as R, s.plate, s.mjd, s.fiberid FROM SpecObj AS s where (s.z < #) and (s.class = #) order by RAND ()"
2019-08-13 17:36:00,1
2019-08-13 17:39:00,3
