25,"SELECT TOP # p.apstar_id, p.apogee_id, p.ra, p.dec, p.glon, p.glat, p.vhelio_avg, p.vscatter, a.teff, a.logg, a.m_h FROM apogeeStar p JOIN aspcapStar a on a.apstar_id = p.apstar_id JOIN apogeeObject as o ON a.apogee_id = o.apogee_id WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-02-15 23:58:00,1
2019-02-16 02:29:00,1
2019-02-18 08:15:00,1
2019-03-21 18:40:00,1
2019-03-21 18:42:00,1
2019-03-21 18:48:00,1
2019-03-21 19:17:00,1
2019-05-01 17:54:00,1
2019-05-05 23:30:00,1
2019-05-30 14:08:00,2
2019-05-31 14:09:00,1
2019-08-05 19:35:00,1
2019-08-21 19:14:00,2
2019-09-24 09:11:00,1
2019-09-24 09:13:00,1
2019-11-04 14:12:00,1
2019-11-04 14:15:00,1
2019-11-04 14:16:00,3
2019-11-04 14:18:00,1
2019-11-04 14:21:00,1
2019-11-07 16:29:00,1
