14,"SELECT up_id, dbo.fGetNearestObjIdEq (up_ra, up_dec, up_sep) as objId FROM #upload WHERE dbo.fGetNearestObjIdEq (up_ra, up_dec, up_sep) IS NOT # SELECT TOP # p.ra, p.dec, p.run, p.rerun, p.camCol, p.field, p.obj, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z, dbo.fIAUFromEq (p.ra, p.[dec]) as SDSSname, IS# (s.fiberID, #) as fiberID, IS# (s.mjd, #) as mjd, IS# (s.plate, #) as plate FROM ..PhotoObj AS p LEFT OUTER JOIN ..SpecObj s ON p.objID = s.bestObjID JOIN #x AS x ON x.objID = p.objID JOIN #upload AS u ON u.up_id = x.up_id WHERE (p.type = # OR p.type = #) ORDER BY x.up_id"
2019-01-09 20:53:00,1
2019-01-09 20:54:00,1
2019-01-09 20:55:00,1
2019-01-10 18:24:00,1
2019-01-10 18:43:00,2
2019-01-10 18:49:00,1
2019-01-10 19:00:00,1
2019-01-10 19:05:00,1
2019-01-10 19:10:00,1
2019-01-11 14:19:00,1
2019-01-11 14:39:00,1
2019-01-11 14:50:00,1
2019-01-11 14:53:00,1
