18,"select top # p.objid, p.ra, p.dec, p.g, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and (p.g BETWEEN # AND #) order by p.g"
2019-03-12 07:26:00,1
2019-03-12 07:35:00,1
2019-03-12 15:36:00,1
2019-03-12 15:40:00,1
2019-03-12 15:44:00,1
2019-03-12 17:26:00,1
2019-03-12 17:42:00,1
2019-03-12 20:59:00,1
2019-03-12 21:09:00,1
2019-03-12 21:14:00,1
2019-03-12 21:17:00,1
2019-03-12 21:20:00,1
2019-03-12 21:22:00,1
2019-03-14 02:09:00,1
2019-03-14 02:11:00,1
2019-03-14 02:12:00,1
2019-04-07 07:22:00,1
2019-05-08 05:44:00,1
