3,"select top # r.plate, r.mjd, r.fiberid, FORMAT (x.fe, #) as fe, FORMAT (r.logg, #) as logg, FORMAT (r.Teff, #, #) as Teff, FORMAT (r.gmag, #) as gmag, FORMAT (r.gerr, #) as gerr, FORMAT (r.rerr, #) as rerr, FORMAT (r.extn_g, #) as extn_g, Format (r.gr0, #) as gr0, r.psfflags, r.edgebadflags, r.CCMGH, r.CCCAHK, x.plate, x.mjd, x.fib, Format (x.ra, #) as RA, FORMAT (x.dec, #) as DEC, FORMAT (x.dobs, #) as dkpc, FORMAT (x.derr, #) as derr into mydb.giantswdist from myDB.realredocheck as r join myDB.DMKgiants as x on r.plate = x.plate and r.fiberid = x.fib where x.kgfl = # and x.clu = # and x.abhb = #"
2019-11-28 13:03:00,2
2019-11-28 13:11:00,1
