38,"SELECT p.deVRad_g, p.deVRad_r, p.deVAB_g, p.deVAB_r, p.deVMag_g, p.deVMag_r FROM PhotoObj AS p WHERE p.objID = #"
2019-03-06 19:36:00,1
2019-03-06 19:38:00,1
2019-03-06 19:39:00,2
2019-03-06 19:41:00,1
2019-03-06 19:43:00,1
2019-03-06 19:44:00,2
2019-03-06 19:45:00,2
2019-03-06 19:56:00,1
2019-03-06 19:57:00,1
2019-03-06 19:58:00,2
2019-03-06 20:00:00,1
2019-03-07 13:38:00,1
2019-03-07 13:39:00,2
2019-03-07 13:40:00,1
2019-03-07 13:41:00,2
2019-03-07 13:42:00,2
2019-03-07 13:43:00,2
2019-03-07 13:46:00,1
2019-03-07 13:47:00,2
2019-03-07 13:48:00,2
2019-03-07 13:49:00,3
2019-03-07 13:52:00,3
2019-03-07 13:53:00,2
