60,"SELECT TOP # g.ra, g.dec, g.petroMag_u as mag_u, g.petroMag_g as mag_g, g.petroMag_r as mag_r, g.petroMag_i as mag_i, g.petroMag_z as mag_z, p.z, p.zErr from GalaxyTag as g JOIN Photoz as p ON p.objID = g.objID WHERE g.ra BETWEEN # AND # AND p.z > # and p.z < #"
2019-01-24 22:43:00,21
2019-01-24 22:44:00,1
2019-01-24 22:48:00,6
2019-01-24 22:49:00,4
2019-01-24 22:50:00,2
2019-01-24 22:51:00,6
2019-01-24 22:52:00,4
2019-01-24 22:53:00,2
2019-01-24 22:54:00,6
2019-01-24 22:56:00,8
