1317,"SELECT TOP # objID, ra, dec, sqrt (power (rowv, #) + power (colv, #) ) as velocity FROM PhotoObj WHERE (power (rowv, #) + power (colv, #) ) > # AND rowv ! = # and colv ! = #"
2019-01-01 09:51:00,1
2019-01-01 09:53:00,1
2019-01-01 22:59:00,1
2019-01-02 01:44:00,1
2019-01-02 01:46:00,1
2019-01-02 20:16:00,1
2019-01-03 11:11:00,1
2019-01-03 14:30:00,1
2019-01-03 14:33:00,1
2019-01-03 14:36:00,1
2019-01-05 05:14:00,1
2019-01-05 08:49:00,1
2019-01-05 16:38:00,1
2019-01-05 17:52:00,1
2019-01-05 17:54:00,1
2019-01-05 18:55:00,1
2019-01-05 19:25:00,1
2019-01-07 08:43:00,1
2019-01-08 00:39:00,1
2019-01-08 00:41:00,1
2019-01-08 00:44:00,1
2019-01-08 02:01:00,1
2019-01-08 03:46:00,1
2019-01-08 06:11:00,1
2019-01-08 06:13:00,1
2019-01-08 06:16:00,1
2019-01-08 06:21:00,1
2019-01-08 06:30:00,1
2019-01-08 06:47:00,1
2019-01-08 15:40:00,1
2019-01-08 15:50:00,1
2019-01-08 15:59:00,1
2019-01-09 16:30:00,1
2019-01-10 02:25:00,1
2019-01-10 12:50:00,1
2019-01-10 17:08:00,1
2019-01-10 22:42:00,1
2019-01-11 09:37:00,1
2019-01-12 09:42:00,1
2019-01-12 20:56:00,1
2019-01-13 00:09:00,1
2019-01-13 15:56:00,1
2019-01-14 11:29:00,1
2019-01-15 16:53:00,1
2019-01-17 04:26:00,1
2019-01-17 23:31:00,1
2019-01-18 12:11:00,1
2019-01-19 00:20:00,1
2019-01-19 03:00:00,1
2019-01-19 13:12:00,1
2019-01-19 17:09:00,1
2019-01-19 17:18:00,1
2019-01-20 18:23:00,1
2019-01-20 22:13:00,1
2019-01-21 05:37:00,1
2019-01-21 12:30:00,1
2019-01-22 08:56:00,1
2019-01-22 08:58:00,1
2019-01-22 13:51:00,1
2019-01-22 13:53:00,1
2019-01-22 13:56:00,1
2019-01-22 21:16:00,1
2019-01-23 15:59:00,1
2019-01-23 16:12:00,2
2019-01-24 13:31:00,1
2019-01-24 13:33:00,1
2019-01-24 13:36:00,1
2019-01-25 11:13:00,1
2019-01-25 17:19:00,1
2019-01-26 08:31:00,1
2019-01-26 13:20:00,1
2019-01-26 13:22:00,1
2019-01-26 13:25:00,1
2019-01-26 20:57:00,1
2019-01-26 20:59:00,1
2019-01-26 21:02:00,1
2019-01-27 02:49:00,1
2019-01-27 10:27:00,1
2019-01-27 12:31:00,1
2019-01-27 14:55:00,1
2019-01-27 14:57:00,1
2019-01-27 15:00:00,1
2019-01-27 22:29:00,1
2019-01-27 22:31:00,1
2019-01-27 22:34:00,1
2019-01-28 14:41:00,1
2019-01-28 14:43:00,1
2019-01-28 14:46:00,1
2019-01-28 15:22:00,1
2019-01-28 15:24:00,1
2019-01-28 15:28:00,1
2019-01-28 15:33:00,1
2019-01-28 15:42:00,1
2019-01-28 15:59:00,1
2019-01-28 21:39:00,1
2019-01-28 23:30:00,1
2019-01-29 01:25:00,1
2019-01-29 01:27:00,1
2019-01-29 01:30:00,1
2019-01-29 01:35:00,1
2019-01-29 01:44:00,1
2019-01-29 03:39:00,1
2019-01-29 06:14:00,1
2019-01-29 17:40:00,1
2019-01-29 22:32:00,1
2019-01-30 16:41:00,1
2019-01-30 16:42:00,3
2019-01-30 16:44:00,1
2019-01-30 16:46:00,1
2019-01-30 16:48:00,1
2019-01-30 16:50:00,1
2019-01-30 16:51:00,1
2019-01-30 16:52:00,1
2019-01-30 16:54:00,1
2019-01-30 18:09:00,1
2019-01-30 18:10:00,1
2019-01-30 18:11:00,3
2019-01-30 18:12:00,2
2019-01-30 18:13:00,1
2019-01-30 18:14:00,4
2019-01-30 18:38:00,1
2019-01-30 23:16:00,1
2019-01-31 21:00:00,1
2019-02-01 00:24:00,1
2019-02-01 02:09:00,1
2019-02-01 10:26:00,1
2019-02-01 22:00:00,1
2019-02-01 22:02:00,1
2019-02-01 22:05:00,1
2019-02-02 08:30:00,1
2019-02-02 08:32:00,1
2019-02-02 08:35:00,1
2019-02-02 08:53:00,1
2019-02-02 15:31:00,1
2019-02-02 15:33:00,1
2019-02-03 02:11:00,1
2019-02-04 04:08:00,1
2019-02-06 19:16:00,1
2019-02-06 20:46:00,1
2019-02-07 18:14:00,1
2019-02-07 19:33:00,1
2019-02-08 05:10:00,1
2019-02-08 16:53:00,1
2019-02-09 18:49:00,1
2019-02-09 20:21:00,1
2019-02-10 10:44:00,1
2019-02-11 05:15:00,1
2019-02-11 22:17:00,1
2019-02-11 22:31:00,1
2019-02-12 16:01:00,1
2019-02-12 16:03:00,1
2019-02-12 16:06:00,1
2019-02-12 19:34:00,1
2019-02-12 19:36:00,1
2019-02-12 19:39:00,1
2019-02-12 19:48:00,1
2019-02-12 19:50:00,1
2019-02-12 19:52:00,1
2019-02-13 13:10:00,1
2019-02-13 13:12:00,1
2019-02-14 12:49:00,1
2019-02-14 13:04:00,1
2019-02-15 02:07:00,1
2019-02-15 17:30:00,1
2019-02-15 22:18:00,1
2019-02-16 01:50:00,1
2019-02-17 03:18:00,1
2019-02-17 07:34:00,1
2019-02-17 09:29:00,1
2019-02-17 10:54:00,1
2019-02-17 11:21:00,1
2019-02-17 12:17:00,1
2019-02-18 08:18:00,1
2019-02-18 10:00:00,1
2019-02-19 00:06:00,1
2019-02-19 21:08:00,1
2019-02-20 03:41:00,1
2019-02-20 11:48:00,1
2019-02-20 17:51:00,1
2019-02-21 03:54:00,1
2019-02-21 10:22:00,1
2019-02-21 13:49:00,1
2019-02-21 13:51:00,1
2019-02-21 13:54:00,1
2019-02-21 13:59:00,1
2019-02-21 17:20:00,1
2019-02-21 21:45:00,1
2019-02-22 06:29:00,1
2019-02-22 06:34:00,1
2019-02-22 10:29:00,1
2019-02-22 23:46:00,1
2019-02-23 11:52:00,1
2019-02-25 00:44:00,1
2019-02-25 01:34:00,1
2019-02-25 05:08:00,1
2019-02-25 11:57:00,1
2019-02-25 13:43:00,1
2019-02-25 18:50:00,1
2019-02-25 18:52:00,1
2019-02-25 18:55:00,1
2019-02-25 23:02:00,1
2019-02-26 02:11:00,1
2019-02-26 02:13:00,1
2019-02-26 02:16:00,1
2019-02-26 02:21:00,1
2019-02-26 02:30:00,1
2019-02-26 02:47:00,1
2019-02-26 18:53:00,1
2019-02-26 23:47:00,1
2019-02-28 02:32:00,1
2019-02-28 02:34:00,1
2019-02-28 02:37:00,1
2019-02-28 08:44:00,1
2019-02-28 08:46:00,1
2019-02-28 08:49:00,1
2019-03-01 02:55:00,1
2019-03-01 04:51:00,1
2019-03-01 04:54:00,1
2019-03-01 04:57:00,1
2019-03-01 10:14:00,1
2019-03-01 10:42:00,1
2019-03-01 11:30:00,1
2019-03-01 14:43:00,1
2019-03-01 15:31:00,1
2019-03-01 21:14:00,1
2019-03-01 21:57:00,1
2019-03-01 21:59:00,1
2019-03-01 22:02:00,1
2019-03-02 00:12:00,1
2019-03-02 07:58:00,1
2019-03-03 03:02:00,1
2019-03-03 03:07:00,1
2019-03-03 11:49:00,1
2019-03-04 22:51:00,1
2019-03-05 06:25:00,1
2019-03-05 08:58:00,1
2019-03-06 14:54:00,1
2019-03-06 14:57:00,1
2019-03-06 15:00:00,1
2019-03-06 15:05:00,1
2019-03-06 17:13:00,1
2019-03-07 07:32:00,1
2019-03-07 08:34:00,1
2019-03-07 13:58:00,1
2019-03-07 14:00:00,1
2019-03-08 01:28:00,1
2019-03-08 11:12:00,1
2019-03-08 14:27:00,1
2019-03-08 21:39:00,1
2019-03-08 21:41:00,1
2019-03-08 21:45:00,1
2019-03-08 23:22:00,1
2019-03-08 23:24:00,1
2019-03-08 23:27:00,1
2019-03-09 11:55:00,1
2019-03-09 11:57:00,1
