29,select * from Snapshots order by redshift
2019-03-06 15:10:00,2
2019-03-07 15:58:00,1
2019-03-07 16:04:00,1
2019-03-07 16:12:00,1
2019-03-13 13:30:00,1
2019-03-17 10:13:00,1
2019-03-17 10:14:00,1
2019-03-17 10:17:00,1
2019-03-17 10:23:00,1
2019-04-16 13:49:00,1
2019-04-16 16:38:00,1
2019-04-16 16:40:00,1
2019-04-16 16:43:00,2
2019-04-16 16:45:00,2
2019-04-16 16:46:00,2
2019-04-16 16:47:00,1
2019-04-16 16:48:00,1
2019-04-16 16:49:00,1
2019-04-16 16:50:00,3
2019-04-16 16:51:00,2
2019-04-16 17:09:00,1
2019-04-18 10:54:00,1
