16,"select top # p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid = s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-04-09 15:43:00,1
2019-04-09 15:44:00,1
2019-04-12 05:39:00,1
2019-06-16 12:18:00,1
2019-06-16 14:40:00,1
2019-06-16 14:44:00,1
2019-06-16 14:49:00,1
2019-06-16 14:52:00,1
2019-06-16 14:57:00,1
2019-06-16 15:12:00,1
2019-06-16 15:19:00,1
2019-06-26 21:53:00,1
2019-06-27 16:47:00,1
2019-07-27 02:40:00,1
2019-08-04 20:03:00,1
2019-08-04 20:08:00,1
