7576,"SELECT TOP # P.ra, P.dec, P.objID, flags, nChild FROM PhotoPrimary as P JOIN dbo.fGetNearbyObjEq (#, #, #) AS PN ON P.objID = PN.objID ORDER BY distance"
2019-06-25 15:12:00,31
2019-06-25 15:16:00,196
2019-06-25 15:17:00,431
2019-06-25 15:20:00,414
2019-06-25 15:21:00,242
2019-06-25 15:24:00,452
2019-06-25 15:25:00,500
2019-06-25 15:26:00,466
2019-06-25 15:27:00,519
2019-06-25 15:28:00,494
2019-06-25 15:29:00,527
2019-06-25 15:30:00,342
2019-06-25 15:32:00,116
2019-06-25 15:33:00,363
2019-06-25 15:34:00,52
2019-06-25 16:43:00,255
2019-06-25 16:44:00,479
2019-06-25 16:45:00,479
2019-06-25 16:46:00,462
2019-06-25 16:47:00,479
2019-06-25 16:48:00,277
