64,"SELECT TOP # p.ra, p.dec, p.run, p.rerun, p.camCol, p.field, p.obj, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z, dbo.fIAUFromEq (p.ra, p.[dec]) as SDSSname, IS# (s.fiberID, #) as fiberID, IS# (s.mjd, #) as mjd, IS# (s.plate, #) as plate FROM BESTDR7..PhotoObj AS p LEFT OUTER JOIN BESTDR7..SpecObj s ON p.objID = s.bestObjID JOIN #x AS x ON x.objID = p.objID JOIN #upload AS u ON u.up_id = x.up_id WHERE (p.type = # OR p.type = #) ORDER BY x.up_id"
2019-01-10 18:26:00,1
2019-01-10 18:32:00,1
2019-01-10 18:44:00,3
2019-01-10 18:50:00,1
2019-01-10 18:51:00,3
2019-01-10 19:00:00,2
2019-01-10 19:05:00,1
2019-01-10 19:10:00,1
2019-01-10 19:14:00,1
2019-01-10 19:15:00,2
2019-01-11 14:03:00,1
2019-01-11 14:04:00,2
2019-01-11 14:10:00,1
2019-01-11 14:11:00,1
2019-01-11 14:16:00,3
2019-01-11 14:20:00,1
2019-01-11 14:23:00,1
2019-01-11 14:24:00,1
2019-01-11 14:42:00,1
2019-01-11 14:45:00,1
2019-01-11 14:46:00,1
2019-01-11 14:51:00,3
2019-01-11 14:54:00,2
2019-01-11 15:09:00,1
2019-01-11 15:10:00,1
2019-01-11 15:12:00,3
2019-01-11 15:14:00,1
2019-01-11 15:15:00,2
2019-01-11 15:22:00,1
2019-01-11 15:24:00,1
2019-01-11 15:28:00,2
2019-01-11 15:29:00,1
2019-01-11 15:33:00,2
2019-01-11 15:34:00,1
2019-01-11 15:35:00,1
2019-01-11 15:38:00,2
2019-01-11 15:39:00,1
2019-01-11 15:41:00,2
2019-01-11 15:44:00,2
2019-01-11 15:47:00,3
2019-01-11 16:08:00,2
