3,"SELECT p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, p.ra, p.dec, s.z, p.ObjID FROM PhotoObj p JOIN specObj s ON s.bestObjID = p.objID WHERE s.class = # AND s.zWarning = # AND ra between # and # AND dec between # and # AND s.class = #"
2019-01-15 06:13:00,1
2019-01-15 06:21:00,1
2019-01-15 09:17:00,1
