171,"SELECT TOP # run, camCol, rerun, field, objID, ra, dec FROM Galaxy WHERE ( (flags"
2019-01-01 11:06:00,1
2019-01-02 00:15:00,1
2019-01-02 00:45:00,1
2019-01-06 12:38:00,1
2019-01-07 00:05:00,1
2019-01-07 23:28:00,1
2019-01-08 03:27:00,1
2019-01-08 06:25:00,1
2019-01-08 07:26:00,1
2019-01-11 04:39:00,1
2019-01-12 03:03:00,1
2019-01-13 08:28:00,1
2019-01-13 09:04:00,1
2019-01-22 08:22:00,1
2019-01-23 23:25:00,1
2019-01-25 15:53:00,1
2019-01-30 09:28:00,1
2019-02-04 13:37:00,1
2019-02-04 14:09:00,1
2019-02-04 14:39:00,1
2019-02-08 01:31:00,1
2019-02-08 18:07:00,1
2019-02-08 22:12:00,1
2019-02-09 17:30:00,1
2019-02-10 05:46:00,1
2019-02-10 09:40:00,1
2019-02-11 11:10:00,1
2019-02-14 10:59:00,1
2019-02-14 12:08:00,1
2019-02-18 03:27:00,1
2019-02-24 11:50:00,1
2019-02-27 19:46:00,1
2019-02-27 22:19:00,1
2019-02-28 03:27:00,1
2019-03-01 12:54:00,1
2019-03-01 22:27:00,1
2019-03-02 02:04:00,1
2019-03-02 22:34:00,1
2019-03-05 07:23:00,1
2019-03-05 08:51:00,1
2019-03-10 18:10:00,1
2019-03-26 19:52:00,1
2019-03-26 20:25:00,1
2019-03-26 20:55:00,1
2019-03-28 16:12:00,1
2019-03-28 19:52:00,1
2019-04-01 06:21:00,1
2019-04-01 18:21:00,1
2019-04-01 22:15:00,1
2019-04-08 15:30:00,1
2019-04-08 18:45:00,1
2019-04-09 12:23:00,1
2019-04-09 21:12:00,1
2019-04-09 21:18:00,1
2019-04-09 21:19:00,1
2019-04-10 00:35:00,1
2019-04-16 18:39:00,1
2019-04-18 05:30:00,1
2019-04-18 21:52:00,1
2019-04-19 01:35:00,1
2019-04-19 09:55:00,1
2019-04-19 19:05:00,1
2019-05-01 14:41:00,1
2019-05-02 10:52:00,1
2019-05-03 04:39:00,1
2019-05-03 14:45:00,1
2019-05-03 17:24:00,1
2019-05-10 16:22:00,1
2019-05-15 23:55:00,1
2019-05-16 00:39:00,1
2019-05-18 20:32:00,1
2019-05-18 21:20:00,1
2019-05-18 21:57:00,1
2019-05-23 09:58:00,1
2019-05-23 13:28:00,1
2019-05-24 02:11:00,1
2019-05-24 08:54:00,1
2019-05-24 13:28:00,1
2019-06-10 21:01:00,1
2019-06-10 21:19:00,1
2019-06-15 09:18:00,1
2019-06-17 09:49:00,1
2019-06-18 11:40:00,1
2019-06-18 13:05:00,1
2019-06-18 14:37:00,1
2019-06-20 00:07:00,1
2019-06-20 03:47:00,1
2019-06-21 00:47:00,1
2019-06-23 22:59:00,1
2019-06-25 12:24:00,1
2019-06-29 05:33:00,1
2019-07-01 02:43:00,1
2019-07-01 03:00:00,1
2019-07-01 21:23:00,1
2019-07-02 01:26:00,1
2019-07-02 15:13:00,1
2019-07-02 19:39:00,1
2019-07-03 14:18:00,1
2019-07-12 19:08:00,1
2019-07-14 08:31:00,1
2019-07-20 00:16:00,1
2019-07-20 05:24:00,1
2019-07-21 06:49:00,1
2019-07-22 05:23:00,1
2019-07-24 02:04:00,1
2019-07-24 08:04:00,1
2019-07-25 05:07:00,1
2019-07-25 23:01:00,1
2019-08-06 02:36:00,1
2019-08-14 22:43:00,1
2019-08-15 03:42:00,1
2019-08-16 07:01:00,1
2019-08-16 23:20:00,1
2019-08-17 09:09:00,1
2019-08-20 23:00:00,1
2019-08-21 04:36:00,1
2019-08-22 07:34:00,1
2019-08-23 01:38:00,1
2019-08-23 07:53:00,1
2019-08-30 11:08:00,1
2019-08-31 05:45:00,1
2019-09-05 22:28:00,1
2019-09-06 21:51:00,1
2019-09-07 10:27:00,1
2019-09-13 00:26:00,1
2019-09-13 05:02:00,1
2019-09-14 17:53:00,1
2019-09-14 23:54:00,1
2019-09-15 06:54:00,1
2019-09-15 08:01:00,1
2019-09-27 23:52:00,1
2019-09-28 04:40:00,1
2019-09-30 01:43:00,1
2019-09-30 07:46:00,1
2019-10-19 09:45:00,1
2019-10-19 17:30:00,1
2019-10-21 00:15:00,1
2019-10-22 03:46:00,1
2019-10-22 10:00:00,1
2019-10-22 20:19:00,1
2019-10-22 20:58:00,1
2019-10-23 14:46:00,1
2019-10-24 09:41:00,1
2019-10-24 16:29:00,1
2019-10-24 21:26:00,1
2019-10-24 21:36:00,1
2019-10-25 00:11:00,1
2019-10-25 00:35:00,1
2019-10-25 00:43:00,1
2019-10-26 18:01:00,1
2019-10-26 19:33:00,1
2019-10-27 10:08:00,1
2019-10-30 20:50:00,1
2019-10-30 23:40:00,1
2019-10-31 04:03:00,1
2019-11-01 05:24:00,1
2019-11-02 00:57:00,1
2019-11-02 07:01:00,1
2019-11-20 04:40:00,1
2019-11-20 12:24:00,1
2019-11-21 20:04:00,1
2019-11-22 18:36:00,1
2019-11-23 00:27:00,1
2019-12-03 01:03:00,1
2019-12-03 08:19:00,1
2019-12-04 11:08:00,1
2019-12-05 11:05:00,1
2019-12-05 19:06:00,1
2019-12-18 00:58:00,1
2019-12-18 01:27:00,1
2019-12-31 00:00:00,1
