192,"select p.objid, p.ra, p.dec, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, s.z as redshift, m.K_M_K2#FE, dbo.fPhotoFlagsN (flags) as flag, p.run, p.rerun, p.camCol, p.field, p.obj from galaxy p join specobj as s on s.bestobjid = p.objid join twomassxsc as m on m.objid = p.objid where p.objid = s.bestobjid and s.z between # and # and m.K_M_K2#FE between # and # and m.cc_flg = #"
2019-01-18 06:23:00,1
2019-01-18 06:30:00,1
2019-01-18 10:55:00,1
2019-01-18 10:57:00,1
2019-01-18 10:59:00,1
2019-01-19 08:34:00,1
2019-01-19 08:36:00,1
2019-01-19 08:47:00,1
2019-01-24 07:58:00,1
2019-01-24 08:01:00,1
2019-01-24 08:02:00,1
2019-01-24 08:03:00,1
2019-01-24 08:15:00,1
2019-01-24 08:21:00,1
2019-01-27 11:31:00,1
2019-01-27 11:33:00,1
2019-01-27 11:35:00,1
2019-01-27 11:38:00,1
2019-01-27 11:39:00,1
2019-01-27 11:40:00,1
2019-01-27 11:48:00,1
2019-01-27 11:51:00,1
2019-01-27 11:55:00,1
2019-01-27 11:57:00,1
2019-01-27 11:59:00,1
2019-01-27 12:00:00,1
2019-01-27 12:01:00,1
2019-01-27 12:02:00,1
2019-01-27 12:03:00,1
2019-01-27 12:04:00,1
2019-01-27 12:05:00,1
2019-01-27 12:08:00,1
2019-01-27 12:09:00,1
2019-01-27 12:20:00,1
2019-01-27 12:21:00,1
2019-01-27 12:22:00,2
2019-01-27 12:25:00,1
2019-01-27 12:26:00,1
2019-01-27 12:27:00,1
2019-01-27 12:28:00,1
2019-01-27 12:29:00,1
2019-01-27 14:17:00,1
2019-01-27 14:19:00,1
2019-01-27 14:23:00,1
2019-01-27 14:24:00,1
2019-01-27 14:25:00,1
2019-01-27 14:33:00,1
2019-01-28 04:07:00,1
2019-01-28 04:11:00,1
2019-01-28 04:12:00,1
2019-01-28 04:24:00,1
2019-01-28 04:26:00,1
2019-01-28 04:33:00,1
2019-01-28 04:34:00,1
2019-01-28 04:35:00,1
2019-01-28 04:38:00,1
2019-01-28 04:40:00,1
2019-01-28 04:41:00,2
2019-01-28 04:43:00,2
2019-01-28 04:44:00,1
2019-01-28 04:45:00,1
2019-01-28 07:25:00,2
2019-01-28 07:26:00,1
2019-01-28 07:27:00,1
2019-01-28 07:28:00,1
2019-01-28 07:29:00,1
2019-01-28 07:32:00,1
2019-01-28 07:33:00,1
2019-01-28 07:34:00,2
2019-01-28 07:35:00,1
2019-01-28 07:36:00,1
2019-01-28 07:51:00,1
2019-01-28 07:52:00,1
2019-01-28 07:53:00,1
2019-01-28 07:54:00,2
2019-01-28 07:55:00,1
2019-01-28 08:29:00,1
2019-01-28 08:31:00,1
2019-01-28 08:32:00,1
2019-01-28 08:33:00,2
2019-01-28 08:34:00,1
2019-01-28 08:35:00,1
2019-01-28 08:36:00,2
2019-01-28 08:40:00,1
2019-01-28 08:41:00,1
2019-01-28 08:42:00,2
2019-01-28 08:43:00,1
2019-01-28 08:44:00,1
2019-01-28 08:45:00,1
2019-01-28 08:46:00,1
2019-01-28 08:47:00,1
2019-01-28 09:03:00,1
2019-01-28 09:23:00,1
2019-01-28 09:24:00,1
2019-01-28 09:25:00,1
2019-01-28 09:26:00,1
2019-01-28 09:27:00,1
2019-01-28 09:29:00,1
2019-01-28 09:30:00,2
2019-01-28 09:32:00,1
2019-01-28 09:37:00,1
2019-01-28 09:38:00,1
2019-01-28 09:43:00,2
2019-01-28 09:44:00,1
2019-01-28 09:45:00,2
2019-01-28 09:46:00,1
2019-01-28 09:47:00,2
2019-01-28 09:52:00,2
2019-01-28 09:53:00,1
2019-01-28 09:54:00,2
2019-01-28 10:07:00,1
2019-01-28 10:28:00,1
2019-01-28 10:29:00,1
2019-01-28 10:41:00,1
2019-01-28 10:42:00,1
2019-01-28 10:43:00,2
2019-01-28 10:44:00,1
2019-01-28 10:45:00,1
2019-01-28 10:57:00,1
2019-01-28 10:58:00,1
2019-01-28 11:01:00,1
2019-01-28 11:02:00,1
2019-01-28 11:03:00,2
2019-01-28 11:04:00,2
2019-01-28 11:10:00,2
2019-01-28 11:11:00,1
2019-01-28 11:12:00,2
2019-01-28 11:13:00,1
2019-01-28 11:14:00,2
2019-01-28 11:15:00,2
2019-01-28 11:16:00,1
2019-01-28 11:17:00,1
2019-01-28 11:18:00,2
2019-01-28 11:19:00,1
2019-01-28 11:20:00,2
2019-01-28 11:21:00,1
2019-01-28 11:22:00,2
2019-01-28 11:23:00,2
2019-01-28 11:24:00,1
2019-01-28 11:25:00,1
2019-01-28 11:50:00,2
2019-01-28 11:51:00,1
2019-01-28 11:52:00,1
2019-01-28 11:53:00,2
2019-01-28 11:54:00,1
2019-01-28 11:55:00,2
2019-01-28 11:56:00,2
2019-01-28 11:57:00,1
2019-01-28 11:58:00,2
2019-01-28 11:59:00,1
2019-01-28 12:00:00,2
2019-01-28 12:01:00,2
2019-01-28 12:02:00,2
2019-01-28 12:03:00,1
2019-01-28 12:04:00,2
2019-01-28 12:05:00,1
2019-01-28 12:06:00,1
