3,"SELECT I.specObjID, I.plateid, I.mjd, I.fiberid, I.ra, I.dec, I.z, I.z_err, E.bptclass, S.class INTO mydb.down_dr1#_class FROM galSpecInfo I JOIN galSpecExtra E ON I.specObjID = E.specObjID JOIN SpecObjAll S ON I.specObjID = S.specObjID WHERE I.specObjID = E.specObjID AND I.specObjID = S.specObjID"
2019-01-02 08:27:00,2
2019-01-02 08:30:00,1
