3,"SELECT -- clause comes from. The query illustrates the JOIN syntax between -- the two tables, which requires that a common quantity that is present in -- both tables be equal, in this case their common parent object. SELECT top # G.ObjID, G.u, G.g, G.r, G.i, G.z FROM Galaxy G -- compare Galaxy and Star JOIN Star S ON G.parentID = S.parentID -- using the same parent WHERE G.parentID > # -- if the galaxy has a parent"
2019-02-28 15:31:00,2
2019-04-23 19:53:00,1
