17,"select p.ra, p.dec, p.g, p.Err_g from STAR as p inner join dbo.fGetNearbyObjEq (#, +#, #) as N on p.objid = N.objid where ( (p.flags & #) ! = #) AND ( (p.flags & #) = #) AND ( ((p.flags & #) = #) AND (p.psfmagerr_g < = #) ) AND ( ((p.flags & #) = #) or (p.flags & #) = #)"
2019-02-22 05:57:00,1
2019-03-03 08:10:00,1
2019-03-03 08:42:00,1
2019-03-03 08:51:00,1
2019-03-03 09:04:00,1
2019-03-03 09:16:00,1
2019-03-03 09:20:00,1
2019-03-03 09:26:00,1
2019-03-03 09:30:00,1
2019-03-03 10:45:00,1
2019-03-03 10:51:00,1
2019-03-03 11:07:00,1
2019-03-03 11:13:00,1
2019-03-03 11:49:00,1
2019-03-03 11:55:00,1
2019-03-03 12:18:00,1
2019-03-03 12:23:00,1
