313,"SELECT p.ra, p.dec, p.psfmag_g, f.mjd_g, p.psfMagErr_g, p.psfmag_u, p.psfmag_r, p.psfmag_i, p.psfmag_z, n.distance*# FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p, Field f WHERE n.objID = p.objID and f.fieldID = p.fieldID"
2019-11-27 00:22:00,1
2019-11-27 00:23:00,3
2019-11-27 00:25:00,4
2019-11-27 00:26:00,5
2019-11-27 00:27:00,3
2019-11-27 00:28:00,2
2019-11-27 00:31:00,3
2019-11-27 00:32:00,2
2019-11-27 00:34:00,1
2019-11-27 00:35:00,5
2019-11-27 00:36:00,4
2019-11-27 00:37:00,5
2019-11-27 00:38:00,3
2019-11-27 00:39:00,2
2019-11-27 00:59:00,2
2019-11-27 01:00:00,2
2019-11-27 01:01:00,1
2019-11-27 01:02:00,8
2019-11-27 01:03:00,3
2019-11-27 01:04:00,4
2019-11-27 01:05:00,4
2019-11-27 01:06:00,4
2019-11-27 01:07:00,2
2019-11-27 01:08:00,4
2019-11-27 01:09:00,3
2019-11-27 01:10:00,2
2019-11-27 01:11:00,5
2019-11-27 01:13:00,2
2019-11-27 01:14:00,3
2019-11-27 01:15:00,1
2019-11-27 01:16:00,4
2019-11-27 01:17:00,3
2019-11-27 01:18:00,2
2019-11-27 01:19:00,6
2019-11-27 01:20:00,2
2019-11-27 01:21:00,2
2019-11-27 01:23:00,4
2019-11-27 01:24:00,5
2019-11-27 01:25:00,5
2019-11-27 01:26:00,4
2019-11-27 01:27:00,4
2019-11-27 01:28:00,4
2019-11-27 01:29:00,3
2019-11-27 01:30:00,4
2019-11-27 01:31:00,9
2019-11-27 01:32:00,3
2019-11-27 01:33:00,7
2019-11-27 01:34:00,6
2019-11-27 01:39:00,4
2019-11-27 01:40:00,9
2019-11-27 01:41:00,7
2019-11-27 02:21:00,1
2019-11-27 02:23:00,1
2019-11-27 02:24:00,1
2019-11-27 02:35:00,7
2019-11-27 02:36:00,13
2019-11-27 02:37:00,8
2019-11-27 02:38:00,12
2019-11-27 02:40:00,15
2019-11-27 02:41:00,5
2019-11-27 02:44:00,12
2019-11-27 02:45:00,8
2019-11-27 02:49:00,3
2019-11-27 02:50:00,17
2019-11-27 02:52:00,20
