72,"SELECT floor (ra/#) *#, count (*) from PhotoObjAll WHERE ra BETWEEN # AND # and type = # group by floor (ra/#) *# order by floor (ra/#) *#"
2019-01-25 19:02:00,24
2019-01-25 19:03:00,45
2019-01-25 19:04:00,3
