128,"SELECT TOP # specObjID, z FROM SpecObj WHERE class = # AND zWarning = # AND z BETWEEN # and #"
2019-03-06 14:38:00,2
2019-03-06 14:41:00,1
2019-03-06 14:50:00,1
2019-03-06 14:57:00,1
2019-03-06 15:01:00,1
2019-03-06 15:07:00,3
2019-03-06 15:08:00,1
2019-03-06 15:15:00,2
2019-03-07 12:32:00,1
2019-03-07 12:33:00,1
2019-03-07 13:16:00,1
2019-03-07 13:20:00,1
2019-03-07 13:24:00,1
2019-03-07 13:28:00,1
2019-03-07 13:36:00,1
2019-03-07 13:41:00,1
2019-03-07 13:45:00,1
2019-03-07 13:49:00,1
2019-03-07 13:57:00,1
2019-03-07 13:58:00,1
2019-03-07 14:00:00,1
2019-03-07 14:08:00,1
2019-03-07 14:10:00,1
2019-03-07 14:20:00,1
2019-03-07 14:27:00,1
2019-03-07 19:56:00,1
2019-03-07 19:58:00,1
2019-03-07 20:04:00,2
2019-03-07 20:08:00,1
2019-03-11 22:19:00,1
2019-03-11 22:24:00,2
2019-03-11 22:27:00,2
2019-03-11 22:28:00,1
2019-03-15 17:22:00,1
2019-03-15 18:12:00,1
2019-03-15 18:15:00,2
2019-03-15 18:16:00,2
2019-03-15 18:17:00,1
2019-03-15 18:18:00,1
2019-03-15 19:02:00,1
2019-03-17 11:34:00,1
2019-03-17 11:45:00,1
2019-03-17 14:44:00,2
2019-03-17 15:32:00,1
2019-03-17 15:38:00,1
2019-03-17 15:39:00,1
2019-03-17 15:40:00,1
2019-03-18 11:43:00,1
2019-03-18 11:44:00,1
2019-03-18 11:45:00,2
2019-03-20 16:18:00,1
2019-03-20 16:27:00,1
2019-03-20 16:28:00,1
2019-03-20 16:30:00,1
2019-03-20 16:31:00,2
2019-03-20 16:32:00,2
2019-03-20 16:33:00,3
2019-03-20 16:37:00,1
2019-03-20 22:16:00,1
2019-03-20 22:19:00,1
2019-03-20 23:21:00,1
2019-03-21 10:00:00,1
2019-03-21 11:21:00,1
2019-03-21 11:26:00,1
2019-03-21 11:27:00,1
2019-03-21 11:28:00,2
2019-03-21 11:30:00,1
2019-03-21 11:31:00,1
2019-03-21 11:34:00,3
2019-03-21 11:35:00,1
2019-03-21 17:11:00,1
2019-03-22 11:22:00,1
2019-03-22 11:23:00,3
2019-03-22 11:29:00,1
2019-03-22 11:31:00,1
2019-03-22 11:32:00,2
2019-03-22 11:33:00,3
2019-03-22 11:34:00,3
2019-03-22 11:35:00,1
2019-03-22 11:41:00,1
2019-03-22 11:47:00,1
2019-03-22 11:48:00,1
2019-03-22 11:49:00,1
2019-03-22 11:50:00,1
2019-03-22 11:51:00,1
2019-03-22 11:52:00,1
2019-03-22 11:53:00,1
2019-03-22 11:55:00,1
2019-03-22 11:56:00,1
2019-03-22 13:24:00,2
2019-03-22 13:26:00,1
2019-03-26 20:56:00,1
2019-03-27 10:48:00,1
2019-03-27 14:35:00,1
2019-04-03 22:05:00,1
2019-04-12 16:05:00,1
2019-05-07 22:29:00,1
2019-05-07 22:30:00,1
2019-05-07 22:45:00,1
2019-05-07 22:54:00,1
2019-05-08 09:22:00,1
2019-05-08 18:57:00,1
