20,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid from PhotoObj as p join SpecObj as s on s.bestobjid = p.objid where p.u between # and # and g between # and #"
2019-06-02 11:41:00,1
2019-06-02 11:47:00,1
2019-06-02 11:50:00,1
2019-06-02 11:51:00,1
2019-06-02 11:52:00,1
2019-06-02 11:53:00,1
2019-06-02 11:54:00,1
2019-06-02 12:06:00,1
2019-06-02 12:14:00,1
2019-06-02 12:15:00,1
2019-06-02 12:16:00,1
2019-06-02 12:20:00,1
2019-06-02 12:21:00,1
2019-06-02 12:23:00,1
2019-06-02 12:28:00,1
2019-06-02 12:44:00,1
2019-06-02 12:45:00,1
2019-06-02 12:59:00,1
2019-06-02 13:07:00,1
2019-06-02 13:09:00,1
