31,select max (Id) from public.ncarey.FramePathProcessing where Processed = # and Id < (select max (Id) from public.ncarey.FramePathProcessing) - #)
2019-05-30 13:03:00,1
2019-05-30 13:04:00,1
2019-05-30 13:05:00,14
2019-05-30 13:44:00,1
2019-05-31 09:41:00,1
2019-05-31 09:50:00,1
2019-05-31 09:54:00,1
2019-05-31 10:05:00,1
2019-05-31 10:11:00,1
2019-05-31 10:16:00,1
2019-05-31 10:41:00,2
2019-05-31 10:46:00,2
2019-05-31 10:47:00,1
2019-05-31 11:29:00,1
2019-06-04 05:27:00,1
2019-06-04 13:46:00,1
