6,"SELECT s.specobjid, s.ra, s.dec , s.class, s.z as redshift FROM SpecObj AS s WHERE s.ra BETWEEN # AND # AND s.dec BETWEEN # AND #"
2019-10-28 08:54:00,2
2019-10-30 16:14:00,1
2019-12-17 13:20:00,1
2019-12-17 13:28:00,1
2019-12-17 13:36:00,1
