7,"SELECT top # objid, ra, dec, z FROM SpecPhoto WHERE (class = #) AND ra between # and # AND dec between # and # AND z > #"
2019-02-27 11:21:00,1
2019-02-27 11:48:00,1
2019-02-27 15:50:00,1
2019-02-27 15:51:00,2
2019-02-27 15:52:00,1
2019-02-28 08:01:00,1
