286,"select ra, dec, l, b, extinction_u, #*LOG1# (psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1# (psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1# (psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #/SQRT (psfFluxIvar_u) /psfFlux_u as psfPogErr_u, #/SQRT (psfFluxIvar_g) /psfFlux_g as psfPogErr_g, #/SQRT (psfFluxIvar_r) /psfFlux_r as psfPogErr_r, from star as s where ra between # and # and dec between # and # and s.clean = # and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < #"
2019-04-19 01:59:00,35
2019-04-19 02:00:00,103
2019-04-19 02:01:00,66
2019-04-19 02:02:00,1
2019-04-19 02:04:00,32
2019-04-19 02:08:00,1
2019-04-19 02:11:00,48
