3,"select specObjID, ra, dec, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z, psfMagErr_u, psfMagErr_g, psfMagErr_r, psfMagErr_i, psfMagErr_z, subClass, z, zWarning , extinction_u, extinction_g, extinction_r, extinction_i, extinction_z into mydb.QSOBBB from SpecPhotoAll where ra > # and ra < # and dec > # and dec < #"
2019-05-04 18:42:00,2
2019-05-04 18:44:00,1
