18,"SELECT up_id, dbo.fGetNearestObjIdEq (up_ra, up_dec, up_sep) as objId FROM #upload WHERE dbo.fGetNearestObjIdEq (up_ra, up_dec, up_sep) IS NOT # SELECT TOP # p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM ..PhotoObj AS p JOIN #x AS x ON x.objID = p.objID JOIN #upload AS u ON u.up_id = x.up_id WHERE (p.type = # OR p.type = #) ORDER BY x.up_id"
2019-01-07 13:11:00,1
2019-01-07 13:12:00,1
2019-01-18 22:32:00,1
2019-02-11 22:10:00,1
2019-02-11 22:11:00,3
2019-02-11 22:16:00,1
2019-02-16 14:21:00,1
2019-03-09 04:43:00,1
2019-03-22 16:06:00,1
2019-03-22 16:07:00,1
2019-05-12 18:24:00,1
2019-05-21 12:24:00,1
2019-05-21 12:34:00,1
2019-07-02 13:32:00,1
2019-07-17 04:21:00,2
