957,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-03-05 18:46:00,1
2019-03-05 20:08:00,1
2019-03-06 01:04:00,1
2019-03-06 01:09:00,1
2019-03-06 01:16:00,1
2019-03-06 01:20:00,1
2019-03-06 01:26:00,1
2019-03-06 01:50:00,1
2019-03-06 01:57:00,1
2019-03-06 02:31:00,1
2019-03-06 02:39:00,1
2019-03-06 02:43:00,1
2019-03-06 02:46:00,1
2019-03-06 02:50:00,1
2019-03-06 05:10:00,1
2019-03-06 05:12:00,1
2019-03-06 05:18:00,1
2019-03-06 05:20:00,1
2019-03-06 05:36:00,1
2019-03-06 05:42:00,1
2019-03-06 17:22:00,1
2019-03-07 05:28:00,1
2019-03-07 22:26:00,1
2019-03-08 19:34:00,1
2019-03-08 20:01:00,3
2019-03-09 14:43:00,1
2019-03-09 14:49:00,1
2019-03-09 14:54:00,1
2019-03-09 14:58:00,1
2019-03-10 15:15:00,1
2019-03-10 15:22:00,1
2019-03-10 15:31:00,1
2019-03-10 15:38:00,1
2019-03-10 15:42:00,1
2019-03-10 15:49:00,1
2019-03-10 18:31:00,1
2019-03-10 19:03:00,1
2019-03-11 16:28:00,1
2019-03-11 16:29:00,1
2019-03-11 16:32:00,1
2019-03-12 13:20:00,1
2019-03-12 13:27:00,1
2019-03-12 13:31:00,1
2019-03-12 17:22:00,1
2019-03-12 17:34:00,1
2019-03-18 03:29:00,1
2019-03-18 03:45:00,1
2019-03-18 15:42:00,1
2019-03-18 16:54:00,1
2019-03-18 17:23:00,1
2019-03-20 09:00:00,1
2019-03-22 09:33:00,1
2019-03-24 17:31:00,1
2019-03-26 11:04:00,1
2019-04-09 13:53:00,1
2019-04-09 14:01:00,1
2019-04-09 14:09:00,1
2019-04-10 23:47:00,1
2019-04-14 14:28:00,1
2019-04-14 14:33:00,1
2019-04-16 08:51:00,1
2019-04-16 13:42:00,1
2019-04-17 21:25:00,1
2019-04-17 21:31:00,51
2019-04-17 21:35:00,47
2019-04-17 21:36:00,58
2019-04-17 21:37:00,51
2019-04-23 14:27:00,1
2019-04-23 14:35:00,1
2019-04-23 16:43:00,1
2019-04-30 13:16:00,1
2019-04-30 16:34:00,1
2019-04-30 19:20:00,1
2019-05-06 01:12:00,1
2019-05-07 13:29:00,1
2019-05-07 13:43:00,1
2019-05-07 14:04:00,1
2019-05-07 14:07:00,1
2019-05-08 14:36:00,1
2019-05-09 23:47:00,1
2019-05-14 13:13:00,1
2019-05-17 01:50:00,1
2019-05-17 17:18:00,99
2019-05-18 17:33:00,1
2019-05-21 17:15:00,1
2019-05-21 17:46:00,1
2019-05-21 17:52:00,1
2019-05-21 17:55:00,1
2019-05-21 18:11:00,1
2019-05-21 19:00:00,1
2019-05-21 19:01:00,1
2019-05-21 19:17:00,1
2019-05-21 19:24:00,1
2019-05-21 19:44:00,1
2019-05-21 20:13:00,1
2019-05-29 12:34:00,1
2019-05-29 18:03:00,1
2019-05-29 18:21:00,1
2019-06-01 19:37:00,1
2019-06-03 19:00:00,1
2019-06-04 15:44:00,1
2019-06-04 17:17:00,1
2019-06-04 17:25:00,1
2019-06-04 17:27:00,1
2019-06-04 17:39:00,1
2019-06-04 17:52:00,1
2019-06-04 18:09:00,1
2019-06-04 18:25:00,1
2019-06-05 15:38:00,1
2019-06-10 01:23:00,1
2019-06-11 18:05:00,1
2019-06-14 01:41:00,1
2019-06-14 14:20:00,1
2019-06-14 14:35:00,1
2019-06-14 14:37:00,1
2019-06-14 15:05:00,1
2019-06-14 15:06:00,1
2019-06-14 15:16:00,1
2019-06-14 16:06:00,1
2019-06-14 16:11:00,1
2019-06-14 16:29:00,1
2019-06-17 16:53:00,1
2019-06-17 18:38:00,1
2019-06-17 19:08:00,1
2019-06-18 14:59:00,1
2019-06-18 17:52:00,1
2019-06-18 17:53:00,1
2019-06-19 14:43:00,4
2019-06-25 17:24:00,1
2019-06-25 17:34:00,1
2019-06-25 17:37:00,1
2019-06-25 17:44:00,1
2019-06-25 18:07:00,1
2019-06-25 18:08:00,1
2019-06-25 18:16:00,1
2019-06-25 18:47:00,1
2019-06-25 21:57:00,1
2019-07-01 10:01:00,1
2019-07-02 00:19:00,1
2019-07-02 17:19:00,2
2019-07-02 17:34:00,1
2019-07-02 17:45:00,1
2019-07-02 18:10:00,1
2019-07-02 18:14:00,1
2019-07-04 03:16:00,1
2019-07-09 17:58:00,1
2019-07-09 18:00:00,1
2019-07-09 18:09:00,1
2019-07-09 18:11:00,1
2019-07-11 21:46:00,1
2019-07-16 06:48:00,1
2019-07-24 19:53:00,1
2019-07-25 16:55:00,1
2019-07-30 13:57:00,1
2019-08-01 20:45:00,1
2019-08-02 06:18:00,1
2019-08-02 06:19:00,1
2019-08-02 18:47:00,1
2019-08-08 21:16:00,1
2019-08-09 18:35:00,1
2019-08-10 16:04:00,1
2019-08-15 18:49:00,1
2019-08-15 18:59:00,1
2019-08-15 21:07:00,1
2019-08-21 18:35:00,1
2019-08-21 19:05:00,1
2019-08-21 20:07:00,1
2019-08-21 20:14:00,1
2019-08-21 20:25:00,1
2019-08-21 20:26:00,1
2019-08-21 20:27:00,2
2019-08-21 20:35:00,1
2019-08-21 21:54:00,1
2019-08-21 22:02:00,1
2019-08-21 22:04:00,1
2019-08-22 00:41:00,1
2019-08-22 04:03:00,1
2019-08-23 19:33:00,1
2019-08-23 19:49:00,1
2019-08-25 23:03:00,1
2019-08-26 18:50:00,1
2019-08-26 19:05:00,1
2019-08-26 19:10:00,1
2019-08-26 19:33:00,1
2019-08-26 19:36:00,1
2019-08-26 19:41:00,1
2019-08-26 20:15:00,1
2019-08-26 20:37:00,1
2019-08-26 20:48:00,1
2019-08-27 00:11:00,1
2019-08-27 20:54:00,1
2019-09-01 19:33:00,1
2019-09-05 15:17:00,1
2019-09-15 14:05:00,1
2019-09-23 22:31:00,1
2019-09-26 17:40:00,1
2019-09-27 16:13:00,1
2019-10-01 03:26:00,1
2019-10-04 11:32:00,1
2019-10-06 19:04:00,1
2019-10-06 19:30:00,1
2019-10-07 16:27:00,1
2019-10-07 23:59:00,1
2019-10-08 13:28:00,1
2019-10-08 16:46:00,1
2019-10-08 19:59:00,1
2019-10-09 01:55:00,1
2019-10-09 14:02:00,1
2019-10-09 14:14:00,1
2019-10-09 15:17:00,1
2019-10-09 20:26:00,1
2019-10-15 18:06:00,1
2019-10-15 18:08:00,1
2019-10-15 18:09:00,1
2019-10-21 12:19:00,1
2019-10-28 10:52:00,1
2019-10-28 10:53:00,3
2019-10-28 11:08:00,1
2019-10-28 11:56:00,1
2019-10-29 08:40:00,1
2019-11-05 13:39:00,1
2019-11-12 20:18:00,1
2019-11-14 10:41:00,1
2019-11-14 10:42:00,1
2019-11-14 10:46:00,2
2019-11-14 10:47:00,1
2019-11-20 11:05:00,1
2019-11-20 11:14:00,1
2019-11-20 11:20:00,1
2019-11-20 13:53:00,1
2019-11-25 16:09:00,1
2019-11-25 17:43:00,1
2019-12-01 22:21:00,1
2019-12-02 19:44:00,1
2019-12-12 16:14:00,1
2019-12-16 21:28:00,1
2019-12-17 13:57:00,1
2019-12-17 14:15:00,1
2019-12-17 14:21:00,1
2019-12-17 15:51:00,1
