21,"select yy, mm, dd, hh, mi, ss, logID, clientIP, op, command, error, browser, isvisible, referer, bytesOut, bytesIn, elapsed into weblogall2#_#_#_to_#_# from weblogall where yy = # and mm between # and # and dd between # and # and hh between # and # and mi between # and #"
2019-07-16 12:10:00,1
2019-07-16 12:58:00,1
2019-07-16 13:02:00,1
2019-07-16 14:18:00,1
2019-07-16 18:08:00,1
2019-07-17 09:42:00,1
2019-07-17 11:34:00,1
2019-07-17 14:20:00,1
2019-07-17 15:32:00,1
2019-07-17 15:59:00,1
2019-07-17 16:46:00,1
2019-07-17 18:39:00,1
2019-07-18 09:40:00,1
2019-07-18 10:11:00,1
2019-07-22 07:55:00,1
2019-07-22 10:37:00,1
2019-07-22 11:34:00,1
2019-07-22 14:55:00,1
2019-08-28 19:19:00,1
2019-10-16 12:11:00,1
2019-10-16 12:14:00,1
