2,"SELECT TOP # p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, FROM Galaxy AS p WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-11-24 01:26:00,1
2019-11-24 01:27:00,1
