31,"select p.objid, p.u, p.g, p.r, p.i, p.z from star p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid and p.g < #"
2019-11-03 00:02:00,1
2019-11-03 01:42:00,1
2019-11-03 11:47:00,1
2019-11-03 12:01:00,1
2019-11-03 12:19:00,1
2019-11-03 13:54:00,1
2019-11-08 18:40:00,2
2019-11-08 18:52:00,1
2019-12-09 20:34:00,1
2019-12-09 20:38:00,1
2019-12-09 20:40:00,1
2019-12-09 20:44:00,1
2019-12-09 20:52:00,1
2019-12-09 20:53:00,1
2019-12-09 20:54:00,1
2019-12-09 20:56:00,2
2019-12-09 20:57:00,1
2019-12-09 21:02:00,1
2019-12-09 21:03:00,1
2019-12-09 21:05:00,2
2019-12-09 21:06:00,1
2019-12-09 21:08:00,1
2019-12-09 21:09:00,2
2019-12-09 21:11:00,2
2019-12-10 22:55:00,2
