2,"SELECT z.petromag_u, z.petromag_g, z.petromag_r, z.petromag_i, z.petromag_z, g.lgm_tot_p5#, g.specsfr_tot_p5# FROM myDB.MyTable as m WHERE g.lgm_tot_p5# < > # and g.specsfr_tot_p5# < > # JOIN specObj as s ON m.objID_DR1# = s.bestobjID JOIN PhotoPrimary as z ON s.specObjID = z.specObjID JOIN galSpecExtra as g ON s.specObjID = g.specObjID"
2019-12-05 14:23:00,1
2019-12-05 14:25:00,1
